Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1m, Symbol:ZB)"
count,85.0
mean,8.641176470588235
std,3.6763495778404147
min,2.0
10%,4.5
25%,6.0
50%,8.0
75%,10.5
95%,15.5
99%,18.159999999999997
max,19.0
skewness,0.6344320983874575
kurtosis,0.2167956468496426
