Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)"
count,126.0
mean,3.5992063492063493
std,3.2107755083592138
min,1.25
10%,1.75
25%,2.25
50%,2.75
75%,3.6875
95%,9.25
99%,20.5625
max,23.25
skewness,4.126819903059997
kurtosis,20.672156075114426
