Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-1.1624032346264148,-1.1624032346264148
2024-10-14,4.0,-0.39324964073686947,-0.39324964073686947
2024-10-16,2.75,-0.7137303048575134,-0.7137303048575134
2024-10-17,4.5,-0.2650573750886119,-0.2650573750886119
2024-10-18,3.125,-0.6175861056213202,-0.6175861056213202
2024-10-20,1.125,-1.1303551682143504,-1.1303551682143504
2024-10-21,8.25,0.6963846172733199,0.6963846172733199
2024-10-22,4.5,-0.2650573750886119,-0.2650573750886119
2024-10-23,3.25,-0.5855380392092558,-0.5855380392092558
2024-10-24,3.125,-0.6175861056213202,-0.6175861056213202
2024-10-27,3.375,-0.5534899727971915,-0.5534899727971915
2024-10-28,4.75,-0.20096124226448311,-0.20096124226448311
2024-10-29,6.75,0.31180782032854715,0.31180782032854715
2024-11-03,2.5,-0.7778264376816422,-0.7778264376816422
2024-11-04,4.75,-0.20096124226448311,-0.20096124226448311
2024-11-05,13.0,1.9142111409317668,1.9142111409317668
2024-11-06,6.25,0.1836155546802896,0.1836155546802896
2024-11-07,8.625,0.792528816509513,0.792528816509513
2024-11-10,2.0,-0.9060187033298998,-0.9060187033298998
2024-11-11,4.125,-0.3612015743248051,-0.3612015743248051
2024-11-15,8.25,0.6963846172733199,0.6963846172733199
2024-11-17,1.5,-1.0342109689781573,-1.0342109689781573
2024-11-18,5.375,-0.04072091020416115,-0.04072091020416115
2024-11-19,5.0,-0.13686510944035432,-0.13686510944035432
2024-11-20,2.75,-0.7137303048575134,-0.7137303048575134
2024-11-21,4.75,-0.20096124226448311,-0.20096124226448311
2024-11-24,2.0,-0.9060187033298998,-0.9060187033298998
2024-11-25,7.125,0.40795201956474036,0.40795201956474036
2024-11-26,3.875,-0.42529770714893383,-0.42529770714893383
2024-11-28,1.875,-0.9380667697419641,-0.9380667697419641
2024-11-29,6.375,0.21566362109235399,0.21566362109235399
2024-12-01,2.125,-0.8739706369178354,-0.8739706369178354
2024-12-02,7.5,0.5040962188009335,0.5040962188009335
2024-12-03,7.5,0.5040962188009335,0.5040962188009335
2024-12-04,6.125,0.1515674882682252,0.1515674882682252
2024-12-05,5.375,-0.04072091020416115,-0.04072091020416115
2024-12-08,1.0,-1.1624032346264148,-1.1624032346264148
2024-12-10,7.0,0.37590395315267594,0.37590395315267594
2024-12-13,7.875,0.6002404180371267,0.6002404180371267
2024-12-15,1.5,-1.0342109689781573,-1.0342109689781573
2024-12-16,3.125,-0.6175861056213202,-0.6175861056213202
2024-12-17,4.375,-0.2971054415006763,-0.2971054415006763
2024-12-18,12.625,1.8180669416955737,1.8180669416955737
2024-12-22,1.25,-1.098307101802286,-1.098307101802286
2024-12-23,4.75,-0.20096124226448311,-0.20096124226448311
2024-12-24,2.75,-0.7137303048575134,-0.7137303048575134
2024-12-25,2.0,-0.9060187033298998,-0.9060187033298998
2024-12-26,4.375,-0.2971054415006763,-0.2971054415006763
2024-12-27,3.375,-0.5534899727971915,-0.5534899727971915
2024-12-29,0.875,-1.1944513010384792,-1.1944513010384792
2024-12-30,6.875,0.34385588674061157,0.34385588674061157
2024-12-31,4.0,-0.39324964073686947,-0.39324964073686947
2025-01-01,2.0,-0.9060187033298998,-0.9060187033298998
2025-01-02,5.5,-0.008672843792096761,-0.008672843792096761
2025-01-03,4.625,-0.2330093086765475,-0.2330093086765475
2025-01-05,1.875,-0.9380667697419641,-0.9380667697419641
2025-01-06,4.375,-0.2971054415006763,-0.2971054415006763
2025-01-07,5.125,-0.10481704302828994,-0.10481704302828994
2025-01-08,4.625,-0.2330093086765475,-0.2330093086765475
2025-01-09,2.5,-0.7778264376816422,-0.7778264376816422
2025-01-12,2.625,-0.7457783712695778,-0.7457783712695778
2025-01-16,7.75,0.5681923516250623,0.5681923516250623
2025-01-17,4.751953125,-0.2004604912267946,-0.2004604912267946
2025-01-19,1.25,-1.098307101802286,-1.098307101802286
2025-01-20,7.875,0.6002404180371267,0.6002404180371267
2025-01-21,5.25,-0.07276897661622554,-0.07276897661622554
2025-01-22,3.875,-0.42529770714893383,-0.42529770714893383
2025-01-23,3.75,-0.45734577356099826,-0.45734577356099826
2025-01-26,2.125,-0.8739706369178354,-0.8739706369178354
2025-01-27,7.0,0.37590395315267594,0.37590395315267594
2025-01-28,4.375,-0.2971054415006763,-0.2971054415006763
2025-01-29,6.0,0.11951942185616081,0.11951942185616081
2025-02-02,5.5,-0.008672843792096761,-0.008672843792096761
2025-02-03,4.75,-0.20096124226448311,-0.20096124226448311
2025-02-04,5.75,0.05542328903203202,0.05542328903203202
2025-02-05,6.375,0.21566362109235399,0.21566362109235399
2025-02-06,2.625,-0.7457783712695778,-0.7457783712695778
2025-02-09,1.625,-1.002162902566093,-1.002162902566093
2025-02-11,3.625,-0.4893938399730626,-0.4893938399730626
2025-02-14,6.625,0.2797597539164828,0.2797597539164828
2025-02-16,1.5,-1.0342109689781573,-1.0342109689781573
2025-02-17,2.125,-0.8739706369178354,-0.8739706369178354
2025-02-18,3.75,-0.45734577356099826,-0.45734577356099826
2025-02-19,4.625,-0.2330093086765475,-0.2330093086765475
2025-02-20,2.5,-0.7778264376816422,-0.7778264376816422
2025-02-23,0.875,-1.1944513010384792,-1.1944513010384792
2025-02-24,6.25,0.1836155546802896,0.1836155546802896
2025-02-25,6.875,0.34385588674061157,0.34385588674061157
2025-02-26,9.0,0.8886730157457062,0.8886730157457062
2025-03-02,4.75,-0.20096124226448311,-0.20096124226448311
2025-03-03,14.25,2.2346918050524107,2.2346918050524107
2025-03-04,15.75,2.6192686019971836,2.6192686019971836
2025-03-05,13.75,2.1064995394041532,2.1064995394041532
2025-03-06,8.875,0.8566249493336419,0.8566249493336419
