Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,2.5,-0.7139576420429125,-0.7139576420429125
2024-11-04,3.5,-0.15838650762044137,-0.15838650762044137
2024-11-05,10.0,3.452825866125621,3.452825866125621
2024-11-06,5.0,0.6749701940132653,0.6749701940132653
2024-11-07,5.5,0.9527557612245008,0.9527557612245008
2024-11-10,3.0,-0.4361720748316769,-0.4361720748316769
2024-11-11,5.25,0.813862977618883,0.813862977618883
2024-11-17,3.25,-0.2972792912260592,-0.2972792912260592
2024-11-18,7.75,2.202790813675061,2.202790813675061
2024-11-19,3.5,-0.15838650762044137,-0.15838650762044137
2024-11-20,3.5,-0.15838650762044137,-0.15838650762044137
2024-11-21,4.25,0.25829184319641196,0.25829184319641196
2024-11-24,3.25,-0.2972792912260592,-0.2972792912260592
2024-11-25,2.5,-0.7139576420429125,-0.7139576420429125
2024-11-26,7.0,1.7861124628582075,1.7861124628582075
2024-12-01,5.5,0.9527557612245008,0.9527557612245008
2024-12-02,4.75,0.5360774104076474,0.5360774104076474
2024-12-03,6.0,1.2305413284357363,1.2305413284357363
2024-12-04,5.25,0.813862977618883,0.813862977618883
2024-12-05,4.0,0.11939905959079417,0.11939905959079417
2024-12-08,5.25,0.813862977618883,0.813862977618883
2024-12-10,2.0,-0.991743209254148,-0.991743209254148
2024-12-15,1.75,-1.1306359928597658,-1.1306359928597658
2024-12-16,3.25,-0.2972792912260592,-0.2972792912260592
2024-12-17,2.75,-0.5750648584372947,-0.5750648584372947
2024-12-18,3.75,-0.019493724014823608,-0.019493724014823608
2024-12-22,3.0,-0.4361720748316769,-0.4361720748316769
2024-12-23,0.5,-1.8250999108878547,-1.8250999108878547
2024-12-25,1.5,-1.2695287764653835,-1.2695287764653835
2024-12-26,3.75,-0.019493724014823608,-0.019493724014823608
2024-12-29,4.0,0.11939905959079417,0.11939905959079417
2024-12-30,1.5,-1.2695287764653835,-1.2695287764653835
2025-01-01,5.25,0.813862977618883,0.813862977618883
2025-01-02,2.75,-0.5750648584372947,-0.5750648584372947
2025-01-05,2.25,-0.8528504256485302,-0.8528504256485302
2025-01-06,2.5,-0.7139576420429125,-0.7139576420429125
2025-01-07,2.25,-0.8528504256485302,-0.8528504256485302
2025-01-08,2.75,-0.5750648584372947,-0.5750648584372947
2025-01-09,2.25,-0.8528504256485302,-0.8528504256485302
2025-01-12,2.0,-0.991743209254148,-0.991743209254148
2025-01-13,3.25,-0.2972792912260592,-0.2972792912260592
2025-01-14,2.25,-0.8528504256485302,-0.8528504256485302
2025-01-15,2.75,-0.5750648584372947,-0.5750648584372947
2025-01-16,2.5,-0.7139576420429125,-0.7139576420429125
2025-01-19,2.5,-0.7139576420429125,-0.7139576420429125
2025-01-20,5.75,1.0916485448301185,1.0916485448301185
2025-01-21,4.5,0.3971846268020297,0.3971846268020297
2025-01-22,3.25,-0.2972792912260592,-0.2972792912260592
2025-01-23,3.5,-0.15838650762044137,-0.15838650762044137
2025-01-26,8.75,2.758361948097532,2.758361948097532
2025-01-27,3.75,-0.019493724014823608,-0.019493724014823608
2025-01-28,1.75,-1.1306359928597658,-1.1306359928597658
2025-01-29,3.25,-0.2972792912260592,-0.2972792912260592
2025-01-30,3.5,-0.15838650762044137,-0.15838650762044137
2025-02-02,5.75,1.0916485448301185,1.0916485448301185
2025-02-03,4.5,0.3971846268020297,0.3971846268020297
2025-02-04,4.0,0.11939905959079417,0.11939905959079417
