Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,6.5,-0.764738894643847,-0.764738894643847
2024-10-16,7.0,-0.6548076785387941,-0.6548076785387941
2024-10-17,6.0,-0.8746701107489001,-0.8746701107489001
2024-10-18,6.0,-0.8746701107489001,-0.8746701107489001
2024-10-21,10.0,0.0047796180915241635,0.0047796180915241635
2024-10-22,5.5,-0.9846013268539531,-0.9846013268539531
2024-10-23,9.0,-0.2150828141185819,-0.2150828141185819
2024-10-24,15.0,1.1040917791420544,1.1040917791420544
2024-10-28,11.5,0.3345732664066833,0.3345732664066833
2024-10-29,14.5,0.9941605630370014,0.9941605630370014
2024-11-04,15.0,1.1040917791420544,1.1040917791420544
2024-11-05,17.5,1.6537478596673196,1.6537478596673196
2024-11-06,17.0,1.5438166435622667,1.5438166435622667
2024-11-07,7.5,-0.544876462433741,-0.544876462433741
2024-11-11,6.5,-0.764738894643847,-0.764738894643847
2024-11-15,17.5,1.6537478596673196,1.6537478596673196
2024-11-18,15.0,1.1040917791420544,1.1040917791420544
2024-11-19,7.0,-0.6548076785387941,-0.6548076785387941
2024-11-20,9.0,-0.2150828141185819,-0.2150828141185819
2024-11-21,14.5,0.9941605630370014,0.9941605630370014
2024-11-25,11.0,0.22464205030163023,0.22464205030163023
2024-11-26,7.0,-0.6548076785387941,-0.6548076785387941
2024-11-28,4.0,-1.3143949751691122,-1.3143949751691122
2024-11-29,10.0,0.0047796180915241635,0.0047796180915241635
2024-12-02,17.0,1.5438166435622667,1.5438166435622667
2024-12-03,10.5,0.1147108341965772,0.1147108341965772
2024-12-04,15.0,1.1040917791420544,1.1040917791420544
2024-12-05,10.0,0.0047796180915241635,0.0047796180915241635
2024-12-10,6.5,-0.764738894643847,-0.764738894643847
2024-12-13,10.0,0.0047796180915241635,0.0047796180915241635
2024-12-16,7.5,-0.544876462433741,-0.544876462433741
2024-12-17,7.0,-0.6548076785387941,-0.6548076785387941
2024-12-18,22.5,2.7530600207178497,2.7530600207178497
2024-12-23,9.5,-0.10515159801352887,-0.10515159801352887
2024-12-24,12.0,0.4445044825117363,0.4445044825117363
2024-12-26,12.5,0.5544356986167893,0.5544356986167893
2024-12-27,9.0,-0.2150828141185819,-0.2150828141185819
2024-12-30,5.5,-0.9846013268539531,-0.9846013268539531
2024-12-31,14.5,0.9941605630370014,0.9941605630370014
2025-01-02,15.0,1.1040917791420544,1.1040917791420544
2025-01-03,6.5,-0.764738894643847,-0.764738894643847
2025-01-06,9.0,-0.2150828141185819,-0.2150828141185819
2025-01-07,5.5,-0.9846013268539531,-0.9846013268539531
2025-01-08,7.0,-0.6548076785387941,-0.6548076785387941
2025-01-09,5.0,-1.094532542959006,-1.094532542959006
2025-01-16,17.5,1.6537478596673196,1.6537478596673196
2025-01-17,7.0,-0.6548076785387941,-0.6548076785387941
2025-01-20,4.5,-1.2044637590640592,-1.2044637590640592
2025-01-21,8.5,-0.32501403022363495,-0.32501403022363495
2025-01-22,10.0,0.0047796180915241635,0.0047796180915241635
2025-01-23,6.0,-0.8746701107489001,-0.8746701107489001
2025-01-27,8.0,-0.434945246328688,-0.434945246328688
2025-01-28,7.0,-0.6548076785387941,-0.6548076785387941
2025-01-29,15.0,1.1040917791420544,1.1040917791420544
2025-02-03,13.5,0.7742981308268954,0.7742981308268954
2025-02-04,8.0,-0.434945246328688,-0.434945246328688
2025-02-05,9.0,-0.2150828141185819,-0.2150828141185819
2025-02-06,10.0,0.0047796180915241635,0.0047796180915241635
2025-02-11,5.0,-1.094532542959006,-1.094532542959006
2025-02-14,8.0,-0.434945246328688,-0.434945246328688
2025-02-17,2.0,-1.7541198395893243,-1.7541198395893243
2025-02-18,8.0,-0.434945246328688,-0.434945246328688
2025-02-19,6.5,-0.764738894643847,-0.764738894643847
2025-02-20,3.0,-1.5342574073792183,-1.5342574073792183
2025-02-24,7.0,-0.6548076785387941,-0.6548076785387941
2025-02-25,6.5,-0.764738894643847,-0.764738894643847
2025-02-26,17.5,1.6537478596673196,1.6537478596673196
2025-03-03,11.5,0.3345732664066833,0.3345732664066833
2025-03-04,23.0,2.862991236822903,2.862991236822903
