Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,5.5,-0.8594073930630531,-0.8594073930630531
2024-10-16,5.5,-0.8594073930630531,-0.8594073930630531
2024-10-17,15.5,1.933251060217274,1.933251060217274
2024-10-18,10.0,0.39728891091309415,0.39728891091309415
2024-10-21,6.0,-0.7197744703990367,-0.7197744703990367
2024-10-22,10.5,0.5369218335771105,0.5369218335771105
2024-10-23,7.5,-0.3008757024069877,-0.3008757024069877
2024-10-24,9.5,0.25765598824907776,0.25765598824907776
2024-10-28,8.5,-0.02160985707895496,-0.02160985707895496
2024-10-29,9.0,0.1180230655850614,0.1180230655850614
2024-11-04,7.0,-0.440508625071004,-0.440508625071004
2024-11-05,5.5,-0.8594073930630531,-0.8594073930630531
2024-11-06,12.5,1.095453524233176,1.095453524233176
2024-11-07,19.0,2.9106815188653887,2.9106815188653887
2024-11-11,10.0,0.39728891091309415,0.39728891091309415
2024-11-15,18.0,2.6314156735373557,2.6314156735373557
2024-11-18,11.0,0.6765547562411268,0.6765547562411268
2024-11-19,10.5,0.5369218335771105,0.5369218335771105
2024-11-20,6.5,-0.5801415477350204,-0.5801415477350204
2024-11-21,9.0,0.1180230655850614,0.1180230655850614
2024-11-25,17.0,2.352149828209323,2.352149828209323
2024-11-26,6.0,-0.7197744703990367,-0.7197744703990367
2024-11-28,4.0,-1.2783061610551023,-1.2783061610551023
2024-11-29,7.5,-0.3008757024069877,-0.3008757024069877
2024-12-02,14.0,1.514352292225225,1.514352292225225
2024-12-03,15.5,1.933251060217274,1.933251060217274
2024-12-04,2.0,-1.8368378517111676,-1.8368378517111676
2024-12-05,8.5,-0.02160985707895496,-0.02160985707895496
2024-12-10,8.0,-0.16124277974297133,-0.16124277974297133
2024-12-13,7.0,-0.440508625071004,-0.440508625071004
2024-12-16,3.5,-1.4179390837191186,-1.4179390837191186
2024-12-17,12.0,0.9558206015691596,0.9558206015691596
2024-12-18,8.0,-0.16124277974297133,-0.16124277974297133
2024-12-23,6.0,-0.7197744703990367,-0.7197744703990367
2024-12-24,2.0,-1.8368378517111676,-1.8368378517111676
2024-12-26,5.5,-0.8594073930630531,-0.8594073930630531
2024-12-27,5.5,-0.8594073930630531,-0.8594073930630531
2024-12-30,8.5,-0.02160985707895496,-0.02160985707895496
2024-12-31,7.5,-0.3008757024069877,-0.3008757024069877
2025-01-02,10.5,0.5369218335771105,0.5369218335771105
2025-01-03,7.0,-0.440508625071004,-0.440508625071004
2025-01-06,7.5,-0.3008757024069877,-0.3008757024069877
2025-01-07,4.5,-1.1386732383910858,-1.1386732383910858
2025-01-08,8.5,-0.02160985707895496,-0.02160985707895496
2025-01-09,6.5,-0.5801415477350204,-0.5801415477350204
2025-01-16,8.0,-0.16124277974297133,-0.16124277974297133
2025-01-17,9.0,0.1180230655850614,0.1180230655850614
2025-01-20,14.0,1.514352292225225,1.514352292225225
2025-01-21,8.0,-0.16124277974297133,-0.16124277974297133
2025-01-22,6.5,-0.5801415477350204,-0.5801415477350204
2025-01-23,10.5,0.5369218335771105,0.5369218335771105
2025-01-27,10.5,0.5369218335771105,0.5369218335771105
2025-01-28,4.5,-1.1386732383910858,-1.1386732383910858
2025-01-29,7.0,-0.440508625071004,-0.440508625071004
2025-02-03,11.5,0.8161876789051432,0.8161876789051432
2025-02-04,6.0,-0.7197744703990367,-0.7197744703990367
2025-02-05,5.0,-0.9990403157270695,-0.9990403157270695
2025-02-06,10.5,0.5369218335771105,0.5369218335771105
2025-02-11,3.0,-1.5575720063831349,-1.5575720063831349
2025-02-14,15.5,1.933251060217274,1.933251060217274
2025-02-17,2.5,-1.6972049290471514,-1.6972049290471514
2025-02-18,5.0,-0.9990403157270695,-0.9990403157270695
2025-02-19,6.0,-0.7197744703990367,-0.7197744703990367
2025-02-20,7.5,-0.3008757024069877,-0.3008757024069877
2025-02-24,10.5,0.5369218335771105,0.5369218335771105
2025-02-25,11.0,0.6765547562411268,0.6765547562411268
2025-02-26,11.5,0.8161876789051432,0.8161876789051432
2025-03-03,13.0,1.2350864468971923,1.2350864468971923
2025-03-04,10.5,0.5369218335771105,0.5369218335771105
2025-03-05,13.0,1.2350864468971923,1.2350864468971923
2025-03-06,12.5,1.095453524233176,1.095453524233176
2025-03-11,7.0,-0.440508625071004,-0.440508625071004
2025-03-17,11.0,0.6765547562411268,0.6765547562411268
2025-03-18,9.5,0.25765598824907776,0.25765598824907776
2025-03-19,10.5,0.5369218335771105,0.5369218335771105
2025-03-20,9.0,0.1180230655850614,0.1180230655850614
2025-03-21,5.0,-0.9990403157270695,-0.9990403157270695
2025-03-24,4.5,-1.1386732383910858,-1.1386732383910858
2025-03-25,7.5,-0.3008757024069877,-0.3008757024069877
2025-03-26,5.5,-0.8594073930630531,-0.8594073930630531
2025-03-31,6.5,-0.5801415477350204,-0.5801415477350204
2025-04-01,6.5,-0.5801415477350204,-0.5801415477350204
2025-04-02,11.0,0.6765547562411268,0.6765547562411268
2025-04-03,5.5,-0.8594073930630531,-0.8594073930630531
