"(Return Stats:- Interval:1d, Symbol:ZN)",All day
count,5349.0
mean,5.08091267150548
std,4.618427888694764
min,0.0
5%,0.25
25%,1.7503662109375
50%,4.0
68%,6.0
90%,10.7503662109375
95%,13.75
99%,21.0
99.7%,26.739000000000033
max,67.5
