Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZN)"
count,140.0
mean,8.321428571428571
std,5.326674232216217
min,1.5
10%,3.225
25%,5.0
50%,7.5
75%,10.0
95%,17.287499999999987
99%,29.08749999999987
max,38.25
skewness,2.401500442052711
kurtosis,9.45902223840553
