"(Vol Return Stats:- Interval:1d, Symbol:ZN)",All day
count,5352.0
mean,10.266140377574972
std,5.7710664631061235
min,0.0
5%,4.0
25%,6.5
50%,9.0
68%,11.25
90%,17.25
95%,20.862768554687456
99%,29.49499999999989
99.7%,39.47350000000006
max,74.5
