Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZB)"
count,98.0
mean,15.244897959183673
std,8.070323930301422
min,2.5
10%,5.3500000000000005
25%,9.5
50%,15.0
75%,19.5
95%,28.574999999999996
99%,35.93500000000002
max,50.0
skewness,1.098995360213338
kurtosis,2.6771554628740195
