Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-0.4146566176785177,-0.4146566176785177
2024-10-14,5.0,-0.23622247412981573,-0.23622247412981573
2024-10-16,5.0,-0.23622247412981573,-0.23622247412981573
2024-10-17,3.5,-0.5038736894528687,-0.5038736894528687
2024-10-20,4.5,-0.32543954590416674,-0.32543954590416674
2024-10-21,6.5,0.03142874119323722,0.03142874119323722
2024-10-22,6.0,-0.05778833058111376,-0.05778833058111376
2024-10-23,6.0,-0.05778833058111376,-0.05778833058111376
2024-10-24,6.0,-0.05778833058111376,-0.05778833058111376
2024-10-27,19.0,2.261855535552012,2.261855535552012
2024-10-28,5.0,-0.23622247412981573,-0.23622247412981573
2024-10-29,5.5,-0.14700540235546475,-0.14700540235546475
2024-11-03,8.0,0.29907995651629016,0.29907995651629016
2024-11-04,5.0,-0.23622247412981573,-0.23622247412981573
2024-11-05,50.0,7.793313985561772,7.793313985561772
2024-11-06,4.5,-0.32543954590416674,-0.32543954590416674
2024-11-07,7.0,0.12064581296758821,0.12064581296758821
2024-11-10,8.5,0.38829702829064117,0.38829702829064117
2024-11-11,6.5,0.03142874119323722,0.03142874119323722
2024-11-17,4.5,-0.32543954590416674,-0.32543954590416674
2024-11-18,4.5,-0.32543954590416674,-0.32543954590416674
2024-11-19,4.5,-0.32543954590416674,-0.32543954590416674
2024-11-20,2.5,-0.6823078330015706,-0.6823078330015706
2024-11-21,3.5,-0.5038736894528687,-0.5038736894528687
2024-11-24,9.5,0.5667311718393432,0.5667311718393432
2024-11-25,6.5,0.03142874119323722,0.03142874119323722
2024-11-26,3.0,-0.5930907612272197,-0.5930907612272197
2024-11-28,3.5,-0.5038736894528687,-0.5038736894528687
2024-12-01,9.0,0.4775141000649921,0.4775141000649921
2024-12-02,7.5,0.2098628847419392,0.2098628847419392
2024-12-03,6.0,-0.05778833058111376,-0.05778833058111376
2024-12-04,4.0,-0.4146566176785177,-0.4146566176785177
2024-12-05,4.5,-0.32543954590416674,-0.32543954590416674
2024-12-08,5.0,-0.23622247412981573,-0.23622247412981573
2024-12-10,4.0,-0.4146566176785177,-0.4146566176785177
2024-12-15,2.5,-0.6823078330015706,-0.6823078330015706
2024-12-16,3.0,-0.5930907612272197,-0.5930907612272197
2024-12-17,2.5,-0.6823078330015706,-0.6823078330015706
2024-12-18,5.0,-0.23622247412981573,-0.23622247412981573
2024-12-22,4.0,-0.4146566176785177,-0.4146566176785177
2024-12-23,2.5,-0.6823078330015706,-0.6823078330015706
2024-12-25,6.5,0.03142874119323722,0.03142874119323722
2024-12-26,4.5,-0.32543954590416674,-0.32543954590416674
2024-12-29,3.0,-0.5930907612272197,-0.5930907612272197
2024-12-30,5.0,-0.23622247412981573,-0.23622247412981573
2025-01-01,7.5,0.2098628847419392,0.2098628847419392
2025-01-02,3.0,-0.5930907612272197,-0.5930907612272197
2025-01-05,7.5,0.2098628847419392,0.2098628847419392
2025-01-06,5.0,-0.23622247412981573,-0.23622247412981573
2025-01-07,4.0,-0.4146566176785177,-0.4146566176785177
2025-01-08,6.5,0.03142874119323722,0.03142874119323722
2025-01-09,4.5,-0.32543954590416674,-0.32543954590416674
2025-01-12,7.5,0.2098628847419392,0.2098628847419392
2025-01-16,2.5,-0.6823078330015706,-0.6823078330015706
2025-01-19,3.0,-0.5930907612272197,-0.5930907612272197
2025-01-20,12.5,1.1020336024854491,1.1020336024854491
2025-01-21,3.5,-0.5038736894528687,-0.5038736894528687
2025-01-22,3.0,-0.5930907612272197,-0.5930907612272197
2025-01-23,5.0,-0.23622247412981573,-0.23622247412981573
2025-01-26,10.5,0.7451653153880451,0.7451653153880451
2025-01-27,5.0,-0.23622247412981573,-0.23622247412981573
2025-01-28,4.0,-0.4146566176785177,-0.4146566176785177
2025-01-29,4.5,-0.32543954590416674,-0.32543954590416674
2025-02-02,17.5,1.994204320228959,1.994204320228959
2025-02-03,4.0,-0.4146566176785177,-0.4146566176785177
2025-02-04,5.0,-0.23622247412981573,-0.23622247412981573
2025-02-05,3.5,-0.5038736894528687,-0.5038736894528687
2025-02-06,3.5,-0.5038736894528687,-0.5038736894528687
2025-02-09,4.5,-0.32543954590416674,-0.32543954590416674
2025-02-11,6.5,0.03142874119323722,0.03142874119323722
2025-02-16,5.5,-0.14700540235546475,-0.14700540235546475
2025-02-17,6.5,0.03142874119323722,0.03142874119323722
2025-02-18,2.5,-0.6823078330015706,-0.6823078330015706
2025-02-19,4.0,-0.4146566176785177,-0.4146566176785177
2025-02-20,5.0,-0.23622247412981573,-0.23622247412981573
2025-02-23,4.0,-0.4146566176785177,-0.4146566176785177
2025-02-24,7.0,0.12064581296758821,0.12064581296758821
2025-02-25,9.5,0.5667311718393432,0.5667311718393432
2025-02-26,9.5,0.5667311718393432,0.5667311718393432
2025-03-02,7.5,0.2098628847419392,0.2098628847419392
2025-03-03,11.5,0.9235994589367471,0.9235994589367471
2025-03-04,12.5,1.1020336024854491,1.1020336024854491
2025-03-05,11.0,0.8343823871623961,0.8343823871623961
2025-03-06,7.5,0.2098628847419392,0.2098628847419392
2025-03-09,9.0,0.4775141000649921,0.4775141000649921
2025-03-11,7.0,0.12064581296758821,0.12064581296758821
2025-03-16,6.5,0.03142874119323722,0.03142874119323722
2025-03-17,1.0,-0.9499590483246236,-0.9499590483246236
