Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,2.25,0.259149434884444,0.259149434884444
2024-11-04,1.0,-0.5031131694481985,-0.5031131694481985
2024-11-05,12.0,6.204797748679055,6.204797748679055
2024-11-06,2.5,0.41160195575097247,0.41160195575097247
2024-11-07,2.0,0.10669691401791549,0.10669691401791549
2024-11-10,0.75,-0.6555656903147269,-0.6555656903147269
2024-11-11,2.75,0.564054476617501,0.564054476617501
2024-11-17,1.5,-0.19820812771514149,-0.19820812771514149
2024-11-18,1.5,-0.19820812771514149,-0.19820812771514149
2024-11-19,1.25,-0.35066064858166995,-0.35066064858166995
2024-11-20,1.0,-0.5031131694481985,-0.5031131694481985
2024-11-21,1.25,-0.35066064858166995,-0.35066064858166995
2024-11-24,2.25,0.259149434884444,0.259149434884444
2024-11-25,1.5,-0.19820812771514149,-0.19820812771514149
2024-11-26,1.25,-0.35066064858166995,-0.35066064858166995
2024-12-01,3.75,1.1738645600836148,1.1738645600836148
2024-12-02,0.5,-0.8080182111812554,-0.8080182111812554
2024-12-03,4.0,1.3263170809501434,1.3263170809501434
2024-12-04,1.25,-0.35066064858166995,-0.35066064858166995
2024-12-05,2.5,0.41160195575097247,0.41160195575097247
2024-12-08,3.75,1.1738645600836148,1.1738645600836148
2024-12-10,1.0,-0.5031131694481985,-0.5031131694481985
2024-12-15,1.0,-0.5031131694481985,-0.5031131694481985
2024-12-16,1.0,-0.5031131694481985,-0.5031131694481985
2024-12-17,0.75,-0.6555656903147269,-0.6555656903147269
2024-12-18,1.5,-0.19820812771514149,-0.19820812771514149
2024-12-22,1.5,-0.19820812771514149,-0.19820812771514149
2024-12-23,0.75,-0.6555656903147269,-0.6555656903147269
2024-12-25,1.0,-0.5031131694481985,-0.5031131694481985
2024-12-26,1.75,-0.045755606848613,-0.045755606848613
2024-12-29,1.0,-0.5031131694481985,-0.5031131694481985
2024-12-30,1.5,-0.19820812771514149,-0.19820812771514149
2025-01-01,2.25,0.259149434884444,0.259149434884444
2025-01-02,0.75,-0.6555656903147269,-0.6555656903147269
2025-01-05,0.75,-0.6555656903147269,-0.6555656903147269
2025-01-06,1.75,-0.045755606848613,-0.045755606848613
2025-01-07,1.0,-0.5031131694481985,-0.5031131694481985
2025-01-08,1.0,-0.5031131694481985,-0.5031131694481985
2025-01-09,1.0,-0.5031131694481985,-0.5031131694481985
2025-01-12,2.5,0.41160195575097247,0.41160195575097247
2025-01-16,1.0,-0.5031131694481985,-0.5031131694481985
2025-01-19,1.25,-0.35066064858166995,-0.35066064858166995
2025-01-20,4.5,1.6312221226832004,1.6312221226832004
2025-01-21,1.25,-0.35066064858166995,-0.35066064858166995
2025-01-22,0.75,-0.6555656903147269,-0.6555656903147269
2025-01-23,2.75,0.564054476617501,0.564054476617501
2025-01-26,1.25,-0.35066064858166995,-0.35066064858166995
2025-01-27,1.5,-0.19820812771514149,-0.19820812771514149
2025-01-28,0.75,-0.6555656903147269,-0.6555656903147269
2025-01-29,1.25,-0.35066064858166995,-0.35066064858166995
2025-02-02,4.0,1.3263170809501434,1.3263170809501434
2025-02-03,3.75,1.1738645600836148,1.1738645600836148
2025-02-04,1.75,-0.045755606848613,-0.045755606848613
2025-02-05,1.75,-0.045755606848613,-0.045755606848613
2025-02-06,1.25,-0.35066064858166995,-0.35066064858166995
2025-02-07,2.0,0.10669691401791549,0.10669691401791549
2025-02-09,1.25,-0.35066064858166995,-0.35066064858166995
2025-02-10,1.75,-0.045755606848613,-0.045755606848613
2025-02-11,0.75,-0.6555656903147269,-0.6555656903147269
2025-02-14,0.751953125,-0.6543746549954572,-0.6543746549954572
