"(Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,90.0,91.0,91.0,85.0,109.0,121.0
mean,2.1333333333333333,2.019230769230769,2.6456043956043955,1.0205882352941176,1.555045871559633,3.669421487603306
std,1.7305094398321883,1.722897579189218,2.436717376942097,0.8347117451425922,1.6788987924481107,3.511026511226373
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.0,0.25,0.10000000000000009,0.25
25%,0.75,0.75,0.75,0.5,0.5,1.0
50%,1.75,1.75,2.0,0.75,1.25,2.75
68%,2.630000000000001,2.25,3.25,1.25,1.75,4.650000000000002
90%,4.25,4.0,5.75,2.25,3.0,8.75
95%,5.137499999999999,5.375,7.0,2.4499999999999993,3.799999999999997,10.75
99%,7.329999999999998,7.549999999999997,9.52499999999997,3.279999999999994,7.260000000000005,14.749999999999993
99.7%,9.199000000000012,7.865000000000002,12.832500000000021,4.309000000000008,11.725000000000012,16.05
max,10.0,8.0,14.25,4.75,13.75,16.5
