Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1m, Symbol:ZF)"
count,69.0
mean,2.8333333333333335
std,1.494577617556867
min,0.5
10%,1.25
25%,1.875
50%,2.5
75%,3.5
95%,6.0
99%,6.75
max,6.75
skewness,0.9849528559602455
kurtosis,0.4420739823722677
