Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.625,-0.7643416379276587,-0.7643416379276587
2024-10-16,0.75,-0.683445703011937,-0.683445703011937
2024-10-17,1.0,-0.5216538331804935,-0.5216538331804935
2024-10-18,0.75,-0.683445703011937,-0.683445703011937
2024-10-21,1.0,-0.5216538331804935,-0.5216538331804935
2024-10-22,0.875,-0.6025497680962153,-0.6025497680962153
2024-10-23,1.125,-0.44075789826477185,-0.44075789826477185
2024-10-24,1.25,-0.35986196334905013,-0.35986196334905013
2024-10-28,1.375,-0.2789660284333284,-0.2789660284333284
2024-10-29,2.125,0.2064095810610019,0.2064095810610019
2024-11-04,2.0,0.12551364614528018,0.12551364614528018
2024-11-05,1.875,0.04461771122955848,0.04461771122955848
2024-11-06,1.5,-0.19807009351760668,-0.19807009351760668
2024-11-07,2.5,0.44909738580816705,0.44909738580816705
2024-11-11,1.375,-0.2789660284333284,-0.2789660284333284
2024-11-15,1.25,-0.35986196334905013,-0.35986196334905013
2024-11-18,1.0,-0.5216538331804935,-0.5216538331804935
2024-11-19,1.25,-0.35986196334905013,-0.35986196334905013
2024-11-20,0.875,-0.6025497680962153,-0.6025497680962153
2024-11-21,1.0,-0.5216538331804935,-0.5216538331804935
2024-11-25,0.875,-0.6025497680962153,-0.6025497680962153
2024-11-26,1.25,-0.35986196334905013,-0.35986196334905013
2024-12-02,3.875,1.3389526698811058,1.3389526698811058
2024-12-03,3.875,1.3389526698811058,1.3389526698811058
2024-12-04,1.0,-0.5216538331804935,-0.5216538331804935
2024-12-05,3.625,1.1771608000496625,1.1771608000496625
2024-12-10,0.875,-0.6025497680962153,-0.6025497680962153
2024-12-13,2.75,0.6108892556396105,0.6108892556396105
2024-12-16,1.0,-0.5216538331804935,-0.5216538331804935
2024-12-17,1.25,-0.35986196334905013,-0.35986196334905013
2024-12-18,2.875,0.6917851905553322,0.6917851905553322
2024-12-23,1.0,-0.5216538331804935,-0.5216538331804935
2024-12-26,0.625,-0.7643416379276587,-0.7643416379276587
2024-12-27,0.875,-0.6025497680962153,-0.6025497680962153
2024-12-30,1.125,-0.44075789826477185,-0.44075789826477185
2024-12-31,0.5,-0.8452375728433804,-0.8452375728433804
2025-01-02,1.0,-0.5216538331804935,-0.5216538331804935
2025-01-03,0.75,-0.683445703011937,-0.683445703011937
2025-01-06,2.0,0.12551364614528018,0.12551364614528018
2025-01-07,1.125,-0.44075789826477185,-0.44075789826477185
2025-01-08,2.0,0.12551364614528018,0.12551364614528018
2025-01-16,1.25,-0.35986196334905013,-0.35986196334905013
2025-01-17,1.751953125,-0.035014224703105085,-0.035014224703105085
2025-01-21,1.25,-0.35986196334905013,-0.35986196334905013
2025-01-22,1.625,-0.11717415860188496,-0.11717415860188496
2025-01-23,0.875,-0.6025497680962153,-0.6025497680962153
2025-01-27,1.125,-0.44075789826477185,-0.44075789826477185
2025-01-28,1.5,-0.19807009351760668,-0.19807009351760668
2025-01-29,2.0,0.12551364614528018,0.12551364614528018
2025-02-03,2.0,0.12551364614528018,0.12551364614528018
2025-02-04,1.0,-0.5216538331804935,-0.5216538331804935
2025-02-05,1.125,-0.44075789826477185,-0.44075789826477185
2025-02-06,0.625,-0.7643416379276587,-0.7643416379276587
2025-02-11,0.375,-0.9261335077591021,-0.9261335077591021
2025-02-14,0.5,-0.8452375728433804,-0.8452375728433804
2025-02-18,1.25,-0.35986196334905013,-0.35986196334905013
2025-02-19,0.875,-0.6025497680962153,-0.6025497680962153
2025-02-20,0.75,-0.683445703011937,-0.683445703011937
2025-02-24,1.0,-0.5216538331804935,-0.5216538331804935
2025-02-25,0.875,-0.6025497680962153,-0.6025497680962153
2025-02-26,3.875,1.3389526698811058,1.3389526698811058
2025-03-03,6.125,2.7950794983640965,2.7950794983640965
2025-03-04,8.125,4.0894144570156445,4.0894144570156445
2025-03-05,4.75,1.9052242142911577,1.9052242142911577
2025-03-06,3.875,1.3389526698811058,1.3389526698811058
2025-03-11,1.375,-0.2789660284333284,-0.2789660284333284
2025-03-17,1.0,-0.5216538331804935,-0.5216538331804935
2025-03-18,1.0,-0.5216538331804935,-0.5216538331804935
2025-03-19,3.625,1.1771608000496625,1.1771608000496625
2025-03-20,1.0,-0.5216538331804935,-0.5216538331804935
2025-03-21,0.75,-0.683445703011937,-0.683445703011937
2025-03-24,0.625,-0.7643416379276587,-0.7643416379276587
2025-03-25,1.125,-0.44075789826477185,-0.44075789826477185
2025-03-26,1.375,-0.2789660284333284,-0.2789660284333284
2025-03-31,2.625,0.5299933207238888,0.5299933207238888
2025-04-01,1.625,-0.11717415860188496,-0.11717415860188496
2025-04-02,1.375,-0.2789660284333284,-0.2789660284333284
2025-04-03,2.75,0.6108892556396105,0.6108892556396105
2025-04-07,6.625,3.1186632380269836,3.1186632380269836
2025-04-08,5.625,2.47149575870121,2.47149575870121
2025-04-09,7.375,3.604038847521314,3.604038847521314
2025-04-15,2.0,0.12551364614528018,0.12551364614528018
2025-04-16,2.25,0.28730551597672366,0.28730551597672366
2025-04-17,1.25,-0.35986196334905013,-0.35986196334905013
2025-04-21,1.625,-0.11717415860188496,-0.11717415860188496
2025-04-22,1.5,-0.19807009351760668,-0.19807009351760668
2025-04-23,0.375,-0.9261335077591021,-0.9261335077591021
