Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,4.25,-0.314823148785195,-0.314823148785195
2022-12-21,4.0,-0.40137170346889883,-0.40137170346889883
2022-12-27,7.75,0.8968566167866581,0.8968566167866581
2022-12-28,5.0,-0.05517748473408366,-0.05517748473408366
2022-12-29,4.75,-0.14172603941778744,-0.14172603941778744
2022-12-30,9.25,1.4161479448888807,1.4161479448888807
2023-01-03,4.25,-0.314823148785195,-0.314823148785195
2023-01-04,4.0,-0.40137170346889883,-0.40137170346889883
2023-01-05,6.75,0.5506623980518429,0.5506623980518429
2023-01-10,6.0,0.2910167340007315,0.2910167340007315
2023-01-11,4.25,-0.314823148785195,-0.314823148785195
2023-01-17,5.5,0.11791962463332392,0.11791962463332392
2023-01-19,5.5,0.11791962463332392,0.11791962463332392
2023-01-20,6.0,0.2910167340007315,0.2910167340007315
2023-01-23,5.5,0.11791962463332392,0.11791962463332392
2023-01-24,3.5,-0.5744688128363065,-0.5744688128363065
2023-01-25,7.75,0.8968566167866581,0.8968566167866581
2023-01-30,4.25,-0.314823148785195,-0.314823148785195
2023-01-31,3.0,-0.747565922203714,-0.747565922203714
2023-02-01,16.0,3.7529589213488834,3.7529589213488834
2023-02-02,7.25,0.7237595074192504,0.7237595074192504
2023-02-06,4.75,-0.14172603941778744,-0.14172603941778744
2023-02-07,8.75,1.2430508355214733,1.2430508355214733
2023-02-08,3.25,-0.6610173675200102,-0.6610173675200102
2023-02-09,10.5,1.8488907183073997,1.8488907183073997
2023-02-15,6.5,0.4641138433681391,0.4641138433681391
2023-02-17,6.25,0.3775652886844353,0.3775652886844353
2023-02-21,5.25,0.031371069949620134,0.031371069949620134
2023-02-22,2.75,-0.8341144768874178,-0.8341144768874178
2023-02-27,10.5,1.8488907183073997,1.8488907183073997
2023-02-28,11.75,2.281633491725919,2.281633491725919
2023-03-01,11.0,2.0219878276748076,2.0219878276748076
2023-03-02,10.5,1.8488907183073997,1.8488907183073997
2023-03-03,8.75,1.2430508355214733,1.2430508355214733
2023-03-06,12.25,2.4547306010933263,2.4547306010933263
2023-03-07,8.0,0.9834051714703619,0.9834051714703619
