Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZN)"
count,88.0
mean,5.042613636363637
std,2.6047650827596023
min,1.0
10%,2.5
25%,3.25
50%,4.5
75%,6.5
95%,9.56249999999999
99%,13.54249999999999
max,15.5
skewness,1.4251324935307341
kurtosis,2.9791857101133705
