Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,3.75,0.12323377972649689,0.12323377972649689
2022-12-21,2.5,-0.38195535479957415,-0.38195535479957415
2022-12-27,2.5,-0.38195535479957415,-0.38195535479957415
2022-12-28,3.25,-0.07884187408393152,-0.07884187408393152
2022-12-29,1.5,-0.786106662420431,-0.786106662420431
2023-01-03,4.25,0.3253094335369253,0.3253094335369253
2023-01-04,4.0,0.2242716066317111,0.2242716066317111
2023-01-05,2.5,-0.38195535479957415,-0.38195535479957415
2023-01-08,2.75,-0.2809175278943599,-0.2809175278943599
2023-01-10,4.25,0.3253094335369253,0.3253094335369253
2023-01-11,5.5,0.8304985680629964,0.8304985680629964
2023-01-15,3.0,-0.17987970098914574,-0.17987970098914574
2023-01-17,10.0,2.649179452356852,2.649179452356852
2023-01-19,4.25,0.3253094335369253,0.3253094335369253
2023-01-22,3.0,-0.17987970098914574,-0.17987970098914574
2023-01-23,2.0,-0.5840310086100026,-0.5840310086100026
2023-01-24,3.25,-0.07884187408393152,-0.07884187408393152
2023-01-25,1.5,-0.786106662420431,-0.786106662420431
2023-01-29,3.75,0.12323377972649689,0.12323377972649689
2023-01-30,2.5,-0.38195535479957415,-0.38195535479957415
2023-01-31,2.5,-0.38195535479957415,-0.38195535479957415
2023-02-01,3.0,-0.17987970098914574,-0.17987970098914574
2023-02-02,3.75,0.12323377972649689,0.12323377972649689
2023-02-05,4.25,0.3253094335369253,0.3253094335369253
2023-02-06,4.75,0.5273850873473538,0.5273850873473538
2023-02-07,4.25,0.3253094335369253,0.3253094335369253
2023-02-08,3.0,-0.17987970098914574,-0.17987970098914574
2023-02-09,2.75,-0.2809175278943599,-0.2809175278943599
2023-02-12,2.75,-0.2809175278943599,-0.2809175278943599
2023-02-15,5.75,0.9315363949682106,0.9315363949682106
2023-02-19,3.25,-0.07884187408393152,-0.07884187408393152
2023-02-21,4.0,0.2242716066317111,0.2242716066317111
2023-02-22,1.5,-0.786106662420431,-0.786106662420431
2023-02-26,3.0,-0.17987970098914574,-0.17987970098914574
2023-02-27,9.5,2.447103798546424,2.447103798546424
2023-02-28,10.25,2.7502172792620665,2.7502172792620665
2023-03-01,12.0,3.4574820675985656,3.4574820675985656
2023-03-02,9.0,2.245028144735995,2.245028144735995
2023-03-05,10.5,2.8512551061672804,2.8512551061672804
2023-03-06,3.0,-0.17987970098914574,-0.17987970098914574
2023-03-07,5.5,0.8304985680629964,0.8304985680629964
2023-03-08,3.0,-0.17987970098914574,-0.17987970098914574
2023-03-09,12.25,3.5585198945037795,3.5585198945037795
2023-03-12,21.5,7.296919489996705,7.296919489996705
2023-03-16,4.75,0.5273850873473538,0.5273850873473538
2023-03-19,13.75,4.164746855935065,4.164746855935065
2023-03-20,8.5,2.042952490925567,2.042952490925567
2023-03-21,4.25,0.3253094335369253,0.3253094335369253
2023-03-22,5.5,0.8304985680629964,0.8304985680629964
2023-03-23,9.0,2.245028144735995,2.245028144735995
2023-03-26,5.0,0.6284229142525679,0.6284229142525679
2023-03-27,5.0,0.6284229142525679,0.6284229142525679
2023-03-28,2.75,-0.2809175278943599,-0.2809175278943599
2023-03-29,2.75,-0.2809175278943599,-0.2809175278943599
2023-04-02,6.5,1.2346498756838533,1.2346498756838533
2023-04-03,3.75,0.12323377972649689,0.12323377972649689
2023-04-04,2.5,-0.38195535479957415,-0.38195535479957415
2023-04-05,3.0,-0.17987970098914574,-0.17987970098914574
2023-04-06,1.5,-0.786106662420431,-0.786106662420431
2023-04-09,2.25,-0.4829931817047884,-0.4829931817047884
2023-04-11,1.25,-0.8871444893256452,-0.8871444893256452
2023-04-16,2.5,-0.38195535479957415,-0.38195535479957415
2023-04-17,2.0,-0.5840310086100026,-0.5840310086100026
2023-04-18,2.0,-0.5840310086100026,-0.5840310086100026
2023-04-19,1.75,-0.6850688355152168,-0.6850688355152168
2023-04-20,2.0,-0.5840310086100026,-0.5840310086100026
2023-04-23,1.75,-0.6850688355152168,-0.6850688355152168
2023-04-24,3.0,-0.17987970098914574,-0.17987970098914574
