Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)"
count,104.0
mean,4.045711810772233
std,2.59660372717109
min,0.5
10%,1.5
25%,2.25
50%,3.375
75%,5.0
95%,9.962499999999999
99%,11.962499999999999
max,12.0
skewness,1.3295388004554203
kurtosis,1.3450130528030835
