Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.9374992000000475,-0.2630181726479131,-0.2630181726479131
2024-10-16,1.0,-0.20933196886248867,-0.20933196886248867
2024-10-17,0.375,-0.7461871349710147,-0.7461871349710147
2024-10-18,0.6874992000000475,-0.47776023909132354,-0.47776023909132354
2024-10-21,1.5625007999999525,0.2738383678097566,0.2738383678097566
2024-10-22,0.6874992000000475,-0.47776023909132354,-0.47776023909132354
2024-10-23,0.625,-0.5314450685276043,-0.5314450685276043
2024-10-24,0.875,-0.3167030020841939,-0.3167030020841939
2024-10-28,1.1874992000000475,-0.048276106204502664,-0.048276106204502664
2024-10-29,1.0625007999999525,-0.15564576507706424,-0.15564576507706424
2024-11-04,0.875,-0.3167030020841939,-0.3167030020841939
2024-11-05,0.8124992000000475,-0.3703892058696183,-0.3703892058696183
2024-11-06,2.0,0.6496362969111531,0.6496362969111531
2024-11-07,1.25,0.005410097580921771,0.005410097580921771
2024-11-11,0.75,-0.4240740353058991,-0.4240740353058991
2024-11-15,1.375,0.11278113080262699,0.11278113080262699
2024-11-18,0.875,-0.3167030020841939,-0.3167030020841939
2024-11-19,2.125,0.7570073301328583,0.7570073301328583
2024-11-20,0.8124992000000475,-0.3703892058696183,-0.3703892058696183
2024-11-21,1.0625007999999525,-0.15564576507706424,-0.15564576507706424
2024-11-25,0.875,-0.3167030020841939,-0.3167030020841939
2024-11-26,0.75,-0.4240740353058991,-0.4240740353058991
2024-11-28,0.3124992000000475,-0.7998733387564392,-0.7998733387564392
2024-11-29,0.5,-0.6388161017493096,-0.6388161017493096
2024-12-02,3.75,2.152830762015026,2.152830762015026
2024-12-03,0.625,-0.5314450685276043,-0.5314450685276043
2024-12-04,0.8125,-0.37038851869504646,-0.37038851869504646
2024-12-05,2.9375,1.4549190460739423,1.4549190460739423
2024-12-10,1.0,-0.20933196886248867,-0.20933196886248867
2024-12-13,0.875,-0.3167030020841939,-0.3167030020841939
2024-12-16,0.875,-0.3167030020841939,-0.3167030020841939
2024-12-17,1.9375,0.5959507803003005,0.5959507803003005
2024-12-18,0.75,-0.4240740353058991,-0.4240740353058991
2024-12-23,0.4375,-0.6925016183601621,-0.6925016183601621
2024-12-26,0.4375,-0.6925016183601621,-0.6925016183601621
2024-12-27,0.5625,-0.585130585138457,-0.585130585138457
2024-12-30,0.75,-0.4240740353058991,-0.4240740353058991
2024-12-31,0.5,-0.6388161017493096,-0.6388161017493096
2025-01-02,1.5,0.22015216402433221,0.22015216402433221
2025-01-03,0.625,-0.5314450685276043,-0.5314450685276043
2025-01-06,1.375,0.11278113080262699,0.11278113080262699
2025-01-07,0.68896484375,-0.47650129762118487,-0.47650129762118487
2025-01-08,1.125,-0.10196093564078344,-0.10196093564078344
2025-01-09,0.875,-0.3167030020841939,-0.3167030020841939
2025-01-16,0.75,-0.4240740353058991,-0.4240740353058991
2025-01-17,0.6875,-0.47775955191675173,-0.47775955191675173
2025-01-20,0.625,-0.5314450685276043,-0.5314450685276043
2025-01-21,1.4375,0.1664666474134796,0.1664666474134796
2025-01-22,0.625,-0.5314450685276043,-0.5314450685276043
2025-01-23,0.5625,-0.585130585138457,-0.585130585138457
2025-01-27,2.625,1.1864914630196792,1.1864914630196792
2025-01-28,0.5625,-0.585130585138457,-0.585130585138457
2025-01-29,0.4375,-0.6925016183601621,-0.6925016183601621
2025-02-03,1.375,0.11278113080262699,0.11278113080262699
2025-02-04,0.9375,-0.26301748547334125,-0.26301748547334125
2025-02-05,0.9375,-0.26301748547334125,-0.26301748547334125
2025-02-06,0.6875,-0.47775955191675173,-0.47775955191675173
2025-02-11,0.375,-0.7461871349710147,-0.7461871349710147
2025-02-14,0.6875,-0.47775955191675173,-0.47775955191675173
2025-02-17,0.625,-0.5314450685276043,-0.5314450685276043
2025-02-18,0.3125,-0.7998726515818674,-0.7998726515818674
2025-02-19,0.3125,-0.7998726515818674,-0.7998726515818674
2025-02-20,0.3125,-0.7998726515818674,-0.7998726515818674
2025-02-24,0.4375,-0.6925016183601621,-0.6925016183601621
2025-02-25,1.1875,-0.048275419029930836,-0.048275419029930836
2025-02-26,4.375,2.689685928123552,2.689685928123552
2025-03-03,4.875,3.119170061010373,3.119170061010373
2025-03-04,5.5,3.656025227118899,3.656025227118899
2025-03-05,1.375,0.11278113080262699,0.11278113080262699
2025-03-06,5.375,3.5486541938971934,3.5486541938971934
2025-03-11,4.875,3.119170061010373,3.119170061010373
2025-03-17,0.75,-0.4240740353058991,-0.4240740353058991
2025-03-18,0.5625,-0.585130585138457,-0.585130585138457
2025-03-19,0.5625,-0.585130585138457,-0.585130585138457
2025-03-20,1.5,0.22015216402433221,0.22015216402433221
2025-03-21,1.125,-0.10196093564078344,-0.10196093564078344
2025-03-24,0.5625,-0.585130585138457,-0.585130585138457
2025-03-25,1.0,-0.20933196886248867,-0.20933196886248867
2025-03-26,0.6875,-0.47775955191675173,-0.47775955191675173
2025-03-31,0.625,-0.5314450685276043,-0.5314450685276043
2025-04-01,1.0,-0.20933196886248867,-0.20933196886248867
2025-04-02,1.5,0.22015216402433221,0.22015216402433221
2025-04-03,1.8125,0.48857974707859525,0.48857974707859525
2025-04-07,5.9375,4.031823843394867,4.031823843394867
2025-04-08,2.0625,0.7033218135220057,0.7033218135220057
2025-04-09,2.6875,1.2401769796305318,1.2401769796305318
2025-04-15,1.125,-0.10196093564078344,-0.10196093564078344
2025-04-16,1.375,0.11278113080262699,0.11278113080262699
2025-04-17,0.875,-0.3167030020841939,-0.3167030020841939
2025-04-21,1.1875,-0.048275419029930836,-0.048275419029930836
2025-04-22,1.4375,0.1664666474134796,0.1664666474134796
2025-04-23,0.75,-0.4240740353058991,-0.4240740353058991
2025-04-24,0.625,-0.5314450685276043,-0.5314450685276043
2025-04-28,0.875,-0.3167030020841939,-0.3167030020841939
2025-04-29,0.5625,-0.585130585138457,-0.585130585138457
2025-05-01,1.25,0.005410097580921771,0.005410097580921771
2025-05-05,0.5625,-0.585130585138457,-0.585130585138457
2025-05-06,1.3125,0.05909561419177438,0.05909561419177438
2025-05-07,0.125,-0.9609292014144252,-0.9609292014144252
