Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,1.75,-0.4541512818066943,-0.4541512818066943
2022-12-21,2.0,-0.32034948811355296,-0.32034948811355296
2022-12-27,2.5,-0.05274590072727028,-0.05274590072727028
2022-12-28,2.0,-0.32034948811355296,-0.32034948811355296
2022-12-29,2.75,0.08105589296587105,0.08105589296587105
2022-12-30,2.5,-0.05274590072727028,-0.05274590072727028
2023-01-03,5.75,1.686677417283567,1.686677417283567
2023-01-04,4.0,0.7500648614315777,0.7500648614315777
2023-01-05,2.5,-0.05274590072727028,-0.05274590072727028
2023-01-10,2.5,-0.05274590072727028,-0.05274590072727028
2023-01-11,3.75,0.6162630677384364,0.6162630677384364
2023-01-17,2.0,-0.32034948811355296,-0.32034948811355296
2023-01-19,2.25,-0.1865476944204116,-0.1865476944204116
2023-01-20,1.75,-0.4541512818066943,-0.4541512818066943
2023-01-23,1.5,-0.5879530754998356,-0.5879530754998356
2023-01-24,1.75,-0.4541512818066943,-0.4541512818066943
2023-01-25,2.75,0.08105589296587105,0.08105589296587105
2023-01-30,2.25,-0.1865476944204116,-0.1865476944204116
2023-01-31,5.0,1.285272036204143,1.285272036204143
2023-02-01,4.5,1.0176684488178604,1.0176684488178604
2023-02-02,2.75,0.08105589296587105,0.08105589296587105
2023-02-06,3.5,0.48246127404529504,0.48246127404529504
2023-02-07,2.0,-0.32034948811355296,-0.32034948811355296
2023-02-08,4.0,0.7500648614315777,0.7500648614315777
2023-02-09,3.25,0.3486594803521537,0.3486594803521537
2023-02-15,2.5,-0.05274590072727028,-0.05274590072727028
2023-02-17,1.5,-0.5879530754998356,-0.5879530754998356
2023-02-21,2.0,-0.32034948811355296,-0.32034948811355296
2023-02-22,2.25,-0.1865476944204116,-0.1865476944204116
2023-02-27,9.25,3.5599025289875454,3.5599025289875454
2023-02-28,10.75,4.3627132911463935,4.3627132911463935
2023-03-01,9.25,3.5599025289875454,3.5599025289875454
2023-03-02,8.5,3.158497147908122,3.158497147908122
2023-03-03,7.75,2.757091766828698,2.757091766828698
2023-03-06,9.25,3.5599025289875454,3.5599025289875454
2023-03-07,2.0,-0.32034948811355296,-0.32034948811355296
2023-03-08,2.75,0.08105589296587105,0.08105589296587105
2023-03-09,4.5,1.0176684488178604,1.0176684488178604
2023-03-16,5.0,1.285272036204143,1.285272036204143
2023-03-20,4.75,1.1514702425110017,1.1514702425110017
2023-03-21,2.75,0.08105589296587105,0.08105589296587105
2023-03-22,11.0,4.496515084839534,4.496515084839534
2023-03-23,8.0,2.890893560521839,2.890893560521839
2023-03-24,2.5,-0.05274590072727028,-0.05274590072727028
2023-03-27,2.5,-0.05274590072727028,-0.05274590072727028
2023-03-28,4.75,1.1514702425110017,1.1514702425110017
2023-03-29,2.0,-0.32034948811355296,-0.32034948811355296
2023-04-03,1.75,-0.4541512818066943,-0.4541512818066943
2023-04-04,2.25,-0.1865476944204116,-0.1865476944204116
2023-04-05,3.75,0.6162630677384364,0.6162630677384364
2023-04-06,2.25,-0.1865476944204116,-0.1865476944204116
2023-04-11,1.75,-0.4541512818066943,-0.4541512818066943
2023-04-17,2.25,-0.1865476944204116,-0.1865476944204116
2023-04-18,1.5,-0.5879530754998356,-0.5879530754998356
2023-04-19,2.5,-0.05274590072727028,-0.05274590072727028
2023-04-20,1.0,-0.8555566628861183,-0.8555566628861183
2023-04-21,1.25,-0.7217548691929769,-0.7217548691929769
2023-04-24,3.75,0.6162630677384364,0.6162630677384364
2023-04-25,3.5,0.48246127404529504,0.48246127404529504
2023-04-26,3.75,0.6162630677384364,0.6162630677384364
2023-05-01,4.0,0.7500648614315777,0.7500648614315777
2023-05-02,2.0,-0.32034948811355296,-0.32034948811355296
2023-05-03,11.5,4.764118672225817,4.764118672225817
2023-05-04,5.25,1.4190738298972843,1.4190738298972843
2023-05-09,2.0,-0.32034948811355296,-0.32034948811355296
2023-05-15,1.75,-0.4541512818066943,-0.4541512818066943
2023-05-16,2.75,0.08105589296587105,0.08105589296587105
