Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-12-16,5.25,-0.565731638004186,-0.565731638004186
2024-12-17,7.25,-0.193486915246402,-0.193486915246402
2024-12-18,18.0,1.8073284695766871,1.8073284695766871
2024-12-22,1.75,-1.2171599028303082,-1.2171599028303082
2024-12-23,8.75,0.08569662682193602,0.08569662682193602
2024-12-24,4.5,-0.705323409038355,-0.705323409038355
2024-12-25,3.25,-0.9379763607619701,-0.9379763607619701
2024-12-26,8.0,-0.053895144212232994,-0.053895144212232994
2024-12-27,5.75,-0.47267045731474006,-0.47267045731474006
2024-12-29,1.5,-1.263690493175031,-1.263690493175031
2024-12-30,11.0,0.5044719399244431,0.5044719399244431
2024-12-31,7.75,-0.100425734556956,-0.100425734556956
2025-01-01,3.25,-0.9379763607619701,-0.9379763607619701
2025-01-02,8.5,0.03916603647721301,0.03916603647721301
2025-01-03,7.25,-0.193486915246402,-0.193486915246402
2025-01-05,3.5,-0.891445770417247,-0.891445770417247
2025-01-06,7.5,-0.146956324901679,-0.146956324901679
2025-01-07,9.0,0.13222721716665903,0.13222721716665903
2025-01-08,7.25,-0.193486915246402,-0.193486915246402
2025-01-09,4.75,-0.658792818693632,-0.658792818693632
2025-01-12,4.25,-0.7518539993830781,-0.7518539993830781
2025-01-16,12.0,0.6905943013033351,0.6905943013033351
2025-01-17,7.25,-0.193486915246402,-0.193486915246402
2025-01-19,2.25,-1.124098722140862,-1.124098722140862
2025-01-20,13.75,1.0163084337163961,1.0163084337163961
2025-01-21,7.5,-0.146956324901679,-0.146956324901679
2025-01-22,7.0,-0.240017505591125,-0.240017505591125
2025-01-23,6.75,-0.286548095935848,-0.286548095935848
2025-01-26,4.0,-0.798384589727801,-0.798384589727801
2025-01-27,11.25,0.551002530269166,0.551002530269166
2025-01-28,7.0,-0.240017505591125,-0.240017505591125
2025-01-29,9.5,0.22528839785610502,0.22528839785610502
2025-02-02,9.5,0.22528839785610502,0.22528839785610502
2025-02-03,8.0,-0.053895144212232994,-0.053895144212232994
2025-02-04,9.5,0.22528839785610502,0.22528839785610502
2025-02-05,11.5,0.5975331206138891,0.5975331206138891
2025-02-06,5.0,-0.6122622283489091,-0.6122622283489091
2025-02-09,2.75,-1.0310375414514161,-1.0310375414514161
