Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:1m, Symbol:ZB)"
count,89.0
mean,4.949438202247191
std,3.249165053430357
min,1.5
10%,2.5
25%,3.0
50%,4.0
75%,5.5
95%,9.799999999999997
99%,18.680000000000007
max,20.0
skewness,2.8303499792084503
kurtosis,9.491409283012558
