Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZB)"
count,67.0
mean,9.567164179104477
std,4.3221553286246
min,1.0
10%,5.300000000000001
25%,6.5
50%,9.0
75%,12.25
95%,17.349999999999998
99%,19.200000000000017
max,22.5
skewness,0.6640193046337644
kurtosis,0.11487955431864982
