Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-0.9690741787001206,-0.9690741787001206
2024-10-14,1.625,-0.29651543641646627,-0.29651543641646627
2024-10-16,1.0625007999999525,-0.6327943292943273,-0.6327943292943273
2024-10-17,2.3125007999999525,0.11449316213195529,0.11449316213195529
2024-10-18,1.3124992000000475,-0.483337787537003,-0.483337787537003
2024-10-20,0.375,-1.0438029278427488,-1.0438029278427488
2024-10-21,3.125,0.6002295532950729,0.6002295532950729
2024-10-22,1.5624992000000475,-0.3338802892517465,-0.3338802892517465
2024-10-23,1.3125007999999525,-0.48333683100907077,-0.48333683100907077
2024-10-24,1.4375007999999525,-0.4086080818664425,-0.4086080818664425
2024-10-27,1.0,-0.6701591821296076,-0.6701591821296076
2024-10-28,1.875,-0.14705793813120974,-0.14705793813120974
2024-10-29,2.5,0.22658580758193156,0.22658580758193156
2024-11-03,1.1874992000000475,-0.5580665366796312,-0.5580665366796312
2024-11-04,1.8124992000000475,-0.18442279096648997,-0.18442279096648997
2024-11-05,4.6874992000000475,1.5343384393139599,1.5343384393139599
2024-11-06,2.25,0.07712830929667505,0.07712830929667505
2024-11-07,2.375,0.1518570584393033,0.1518570584393033
2024-11-10,0.75,-0.819616680414864,-0.819616680414864
2024-11-11,1.375,-0.4459729347017228,-0.4459729347017228
2024-11-15,3.125,0.6002295532950729,0.6002295532950729
2024-11-17,0.8124992000000475,-0.7822527841075161,-0.7822527841075161
2024-11-18,1.6874992000000475,-0.25915154010911823,-0.25915154010911823
2024-11-19,2.3125007999999525,0.11449316213195529,0.11449316213195529
2024-11-20,1.25,-0.520701683844351,-0.520701683844351
2024-11-21,2.0,-0.07232918898858147,-0.07232918898858147
2024-11-24,0.875,-0.7448879312722358,-0.7448879312722358
2024-11-25,2.6874992000000475,0.33867845303190786,0.33867845303190786
2024-11-26,1.75,-0.221786687273838,-0.221786687273838
2024-11-28,0.875,-0.7448879312722358,-0.7448879312722358
2024-11-29,4.6875,1.534338917577926,1.534338917577926
2024-12-01,3.875,1.0486020481508425,1.0486020481508425
2024-12-02,4.75,1.5717032921492402,1.5717032921492402
2024-12-03,1.5625,-0.33387981098778036,-0.33387981098778036
2024-12-04,2.75,0.3760433058671881,0.3760433058671881
2024-12-05,3.375,0.7496870515803293,0.7496870515803293
2024-12-10,2.1875,0.03976393472536092,0.03976393472536092
2024-12-13,2.125,0.002399560154046788,0.002399560154046788
2024-12-15,0.4375,-1.0064385532714346,-1.0064385532714346
2024-12-16,1.4375,-0.40860856013040864,-0.40860856013040864
2024-12-17,2.0,-0.07232918898858147,-0.07232918898858147
2024-12-18,5.3125,1.9079826632910675,1.9079826632910675
2024-12-22,0.4375,-1.0064385532714346,-1.0064385532714346
2024-12-23,1.1875,-0.5580660584156651,-0.5580660584156651
2024-12-24,1.0,-0.6701591821296076,-0.6701591821296076
2024-12-25,0.75,-0.819616680414864,-0.819616680414864
2024-12-26,1.375,-0.4459729347017228,-0.4459729347017228
2024-12-27,1.1875,-0.5580660584156651,-0.5580660584156651
2024-12-29,0.375,-1.0438029278427488,-1.0438029278427488
2024-12-30,2.625,0.3013145567245598,0.3013145567245598
2024-12-31,1.5,-0.3712441855590945,-0.3712441855590945
2025-01-01,0.8125,-0.7822523058435499,-0.7822523058435499
2025-01-02,2.0,-0.07232918898858147,-0.07232918898858147
2025-01-03,1.75,-0.221786687273838,-0.221786687273838
2025-01-05,0.5625,-0.9317098041288064,-0.9317098041288064
2025-01-06,1.5,-0.3712441855590945,-0.3712441855590945
2025-01-07,1.75,-0.221786687273838,-0.221786687273838
2025-01-08,1.6875,-0.25915106184515213,-0.25915106184515213
2025-01-09,1.125,-0.5954304329869793,-0.5954304329869793
