"(Return Stats:- Interval:1d, Symbol:FGBL)",All day
count,3302.0
mean,36.79345850999394
std,33.49172418408353
min,0.0
5%,3.0000000000001137
25%,12.999999999999545
50%,28.000000000000114
68%,43.00000000000068
90%,78.00000000000011
95%,101.00000000000193
99%,157.96000000000035
99.7%,207.19399999999982
max,294.99999999999886
