Date,"Volatility of Returns (Session:All day, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,7.5,-0.27761050770511225,-0.27761050770511225
2022-12-21,11.0,0.38838150272750593,0.38838150272750593
2022-12-27,12.75,0.7213775079438149,0.7213775079438149
2022-12-28,9.0,0.007814639623152686,0.007814639623152686
2022-12-29,6.5,-0.46789393925728884,-0.46789393925728884
2022-12-30,9.25,0.05538549751119684,0.05538549751119684
2023-01-03,9.25,0.05538549751119684,0.05538549751119684
2023-01-04,7.0,-0.3727522234812005,-0.3727522234812005
2023-01-05,10.25,0.24566892906337345,0.24566892906337345
2023-01-08,2.75,-1.1814568075779512,-1.1814568075779512
2023-01-10,11.5,0.4835232185035942,0.4835232185035942
2023-01-11,8.5,-0.08732707615293563,-0.08732707615293563
2023-01-15,3.0,-1.133885949689907,-1.133885949689907
2023-01-17,13.25,0.8165192237199033,0.8165192237199033
2023-01-19,13.5,0.8640900816079474,0.8640900816079474
2023-01-20,11.0,0.38838150272750593,0.38838150272750593
2023-01-22,3.0,-1.133885949689907,-1.133885949689907
2023-01-23,10.0,0.1980980711753293,0.1980980711753293
2023-01-24,11.25,0.43595236061555004,0.43595236061555004
2023-01-25,7.75,-0.2300396498170681,-0.2300396498170681
2023-01-29,3.75,-0.9911733760257745,-0.9911733760257745
2023-01-30,9.75,0.15052721328728513,0.15052721328728513
2023-01-31,7.75,-0.2300396498170681,-0.2300396498170681
2023-02-01,16.5,1.4349403762644772,1.4349403762644772
2023-02-02,11.0,0.38838150272750593,0.38838150272750593
2023-02-05,4.25,-0.8960316602496862,-0.8960316602496862
2023-02-06,16.0,1.339798660488389,1.339798660488389
2023-02-07,11.25,0.43595236061555004,0.43595236061555004
2023-02-08,6.5,-0.46789393925728884,-0.46789393925728884
2023-02-09,13.0,0.7689483658318591,0.7689483658318591
2023-02-12,2.75,-1.1814568075779512,-1.1814568075779512
2023-02-15,10.25,0.24566892906337345,0.24566892906337345
2023-02-17,13.0,0.7689483658318591,0.7689483658318591
2023-02-19,3.25,-1.086315091801863,-1.086315091801863
2023-02-21,14.25,1.00680265527208,1.00680265527208
2023-02-22,7.5,-0.27761050770511225,-0.27761050770511225
2023-02-26,3.0,-1.133885949689907,-1.133885949689907
2023-02-27,17.25,1.5776529499286098,1.5776529499286098
2023-02-28,15.75,1.2922278026003449,1.2922278026003449
2023-03-01,20.75,2.243644960361228,2.243644960361228
2023-03-02,15.5,1.2446569447123006,1.2446569447123006
2023-03-03,15.5,1.2446569447123006,1.2446569447123006
2023-03-05,10.5,0.2932397869514176,0.2932397869514176
2023-03-06,15.75,1.2922278026003449,1.2922278026003449
2023-03-07,12.25,0.6262357921677266,0.6262357921677266
2023-03-08,12.25,0.6262357921677266,0.6262357921677266
2023-03-09,27.25,3.4804872654503756,3.4804872654503756
2023-03-12,21.5,2.38635753402536,2.38635753402536
2023-03-16,31.75,4.33676270743517,4.33676270743517
2023-03-19,13.75,0.9116609394959916,0.9116609394959916
2023-03-20,31.25,4.241620991659082,4.241620991659082
2023-03-21,22.25,2.529070107689493,2.529070107689493
2023-03-22,28.75,3.7659124127786403,3.7659124127786403
2023-03-23,19.5,2.005790670921007,2.005790670921007
2023-03-24,18.0,1.7203655235927422,1.7203655235927422
2023-03-26,5.0,-0.7533190865855538,-0.7533190865855538
2023-03-27,20.5,2.1960741024731836,2.1960741024731836
2023-03-28,11.25,0.43595236061555004,0.43595236061555004
2023-03-29,10.5,0.2932397869514176,0.2932397869514176
2023-04-02,6.5,-0.46789393925728884,-0.46789393925728884
2023-04-03,17.75,1.6727946657046981,1.6727946657046981
2023-04-04,19.25,1.9582198130329629,1.9582198130329629
2023-04-05,14.75,1.1019443710481682,1.1019443710481682
2023-04-06,9.0,0.007814639623152686,0.007814639623152686
2023-04-09,2.25,-1.2765985233540393,-1.2765985233540393
2023-04-11,9.0,0.007814639623152686,0.007814639623152686
2023-04-16,2.5,-1.2290276654659953,-1.2290276654659953
2023-04-17,11.5,0.4835232185035942,0.4835232185035942
2023-04-18,6.75,-0.4203230813692447,-0.4203230813692447
2023-04-19,8.0,-0.18246879192902393,-0.18246879192902393
2023-04-20,9.0,0.007814639623152686,0.007814639623152686
2023-04-21,9.25,0.05538549751119684,0.05538549751119684
2023-04-23,1.75,-1.3717402391301277,-1.3717402391301277
2023-04-24,11.25,0.43595236061555004,0.43595236061555004
2023-04-25,12.5,0.6738066500557708,0.6738066500557708
2023-04-26,10.25,0.24566892906337345,0.24566892906337345
2023-04-30,3.5,-1.0387442339138186,-1.0387442339138186
2023-05-01,15.25,1.1970860868242565,1.1970860868242565
2023-05-02,19.5,2.005790670921007,2.005790670921007
2023-05-03,20.0,2.1009323866970955,2.1009323866970955
2023-05-04,16.5,1.4349403762644772,1.4349403762644772
2023-05-07,3.5,-1.0387442339138186,-1.0387442339138186
2023-05-09,6.5,-0.46789393925728884,-0.46789393925728884
2023-05-14,2.0,-1.3241693812420836,-1.3241693812420836
2023-05-15,5.25,-0.7057482286975096,-0.7057482286975096
2023-05-16,13.75,0.9116609394959916,0.9116609394959916
2023-05-17,9.75,0.15052721328728513,0.15052721328728513
2023-05-18,13.0,0.7689483658318591,0.7689483658318591
2023-05-19,12.25,0.6262357921677266,0.6262357921677266
2023-05-21,3.75,-0.9911733760257745,-0.9911733760257745
2023-05-22,9.75,0.15052721328728513,0.15052721328728513
2023-05-23,9.75,0.15052721328728513,0.15052721328728513
2023-05-24,11.0,0.38838150272750593,0.38838150272750593
