Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:1m, Symbol:ZN)"
count,66.0
mean,2.1742424242424243
std,0.9061432398332898
min,1.0
10%,1.25
25%,1.5
50%,2.0
75%,2.6875
95%,3.75
99%,4.587499999999999
max,4.75
skewness,0.982265564618486
kurtosis,0.23167689193440566
