Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)"
count,92.0
mean,1.7554347826086956
std,1.6460401494866357
min,0.1875
10%,0.5624992800000428
25%,0.75
50%,1.1875
75%,1.8125
95%,5.3343750000000005
99%,6.918125000000009
max,9.25
skewness,2.152021352894445
kurtosis,4.951729580080308
