Date,"Volatility of Returns (Session:All day, Interval:1d, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2000-09-21,5.250122070312273,-0.8729701578231073,-0.8729701578231073
2000-09-22,0.7498779296877274,-1.6542723827642238,-1.6542723827642238
2000-09-25,0.5,-1.6976545141171258,-1.6976545141171258
2000-09-26,1.500732421875,-1.5239140584108404,-1.5239140584108404
2000-09-27,0.748779296875,-1.6544631200296156,-1.6544631200296156
2000-09-28,2.0,-1.4372345678230498,-1.4372345678230498
2000-09-29,1.0,-1.6108478653524338,-1.6108478653524338
2000-10-02,0.499267578125,-1.6977816722940273,-1.6977816722940273
2000-10-03,2.5,-1.3504279190583577,-1.3504279190583577
2000-10-04,0.7501220703122726,-1.6542299967053358,-1.6542299967053358
2000-10-05,0.7496337890625,-1.6543147688232305,-1.6543147688232305
2000-10-06,1.75048828125,-1.4805531200874615,-1.4805531200874615
2000-10-09,1.75048828125,-1.4805531200874615,-1.4805531200874615
2000-10-10,3.0,-1.2636212702936656,-1.2636212702936656
2000-10-11,1.500732421875,-1.5239140584108404,-1.5239140584108404
2000-10-12,12.251220703125,0.342513662147973,0.342513662147973
2000-10-13,6.748779296875,-0.6127833348533109,-0.6127833348533109
2000-10-16,4.24951171875,-1.0466894204998698,-1.0466894204998698
2000-10-17,9.748779296875,-0.09194344226515856,-0.09194344226515856
2000-10-18,15.2496337890625,0.8630780453528389,0.8630780453528389
2000-10-19,9.0,-0.22194148511736098,-0.22194148511736098
2000-10-20,5.7503662109375,-0.7861211229994086,-0.7861211229994086
2000-10-23,5.75048828125,-0.7860999299699251,-0.7860999299699251
2000-10-24,8.0,-0.3955547826467451,-0.3955547826467451
2000-10-25,11.2496337890625,0.16862485523530257,0.16862485523530257
2000-10-26,8.499267578125,-0.3088752920589544,-0.3088752920589544
2000-10-27,8.7503662109375,-0.2652812304112563,-0.2652812304112563
2000-10-30,6.7503662109375,-0.6125078254700245,-0.6125078254700245
2000-10-31,8.2496337890625,-0.35221503735284976,-0.35221503735284976
2000-11-01,3.7503662109375,-1.1333477180581768,-1.1333477180581768
2000-11-02,3.0,-1.2636212702936656,-1.2636212702936656
2000-11-03,12.2496337890625,0.34223815276468667,0.34223815276468667
2000-11-06,7.2496337890625,-0.5258283348822339,-0.5258283348822339
2000-11-07,5.499511718750227,-0.8296727985881002,-0.8296727985881002
2000-11-08,14.2503662109375,0.6895919060003562,0.6895919060003562
2000-11-09,9.4991455078125,-0.13528318755905389,-0.13528318755905389
2000-11-10,4.7503662109375,-0.9597344205287928,-0.9597344205287928
2000-11-13,4.251220703125,-1.0463927180870998,-1.0463927180870998
2000-11-14,6.500732421875,-0.6558475707639199,-0.6558475707639199
2000-11-15,6.0,-0.7427813777055133,-0.7427813777055133
2000-11-16,4.2496337890625,-1.0466682274703862,-1.0466682274703862
2000-11-17,5.0,-0.9163946752348974,-0.9163946752348974
