Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-0.6704827297317175,-0.6704827297317175
2024-10-14,2.0,-0.12703168233012282,-0.12703168233012282
2024-10-16,1.375,-0.46668858695611953,-0.46668858695611953
2024-10-17,0.875,-0.7384141106569169,-0.7384141106569169
2024-10-20,1.125,-0.6025513488065183,-0.6025513488065183
2024-10-21,1.625,-0.33082582510572084,-0.33082582510572084
2024-10-22,2.25,0.008831079520275847,0.008831079520275847
2024-10-23,2.125,-0.0591003014049235,-0.0591003014049235
2024-10-24,1.375,-0.46668858695611953,-0.46668858695611953
2024-10-27,3.375,0.62021350784707,0.62021350784707
2024-10-28,1.375,-0.46668858695611953,-0.46668858695611953
2024-10-29,1.25,-0.5346199678813189,-0.5346199678813189
2024-11-03,2.5,0.14469384137067454,0.14469384137067454
2024-11-04,1.25,-0.5346199678813189,-0.5346199678813189
2024-11-05,13.0,5.850929839087419,5.850929839087419
2024-11-06,2.0,-0.12703168233012282,-0.12703168233012282
2024-11-07,1.625,-0.33082582510572084,-0.33082582510572084
2024-11-10,2.0,-0.12703168233012282,-0.12703168233012282
2024-11-11,1.5,-0.3987572060309202,-0.3987572060309202
2024-11-17,1.5,-0.3987572060309202,-0.3987572060309202
2024-11-18,1.125,-0.6025513488065183,-0.6025513488065183
2024-11-19,1.25,-0.5346199678813189,-0.5346199678813189
2024-11-20,1.0,-0.6704827297317175,-0.6704827297317175
2024-11-21,1.125,-0.6025513488065183,-0.6025513488065183
2024-11-24,2.0,-0.12703168233012282,-0.12703168233012282
2024-11-25,2.0,-0.12703168233012282,-0.12703168233012282
2024-11-26,1.125,-0.6025513488065183,-0.6025513488065183
2024-11-28,1.25,-0.5346199678813189,-0.5346199678813189
2024-12-01,2.125,-0.0591003014049235,-0.0591003014049235
2024-12-02,4.25,1.0957331743234653,1.0957331743234653
2024-12-03,4.375,1.1636645552486646,1.1636645552486646
2024-12-04,1.25,-0.5346199678813189,-0.5346199678813189
2024-12-05,3.25,0.5522821269218706,0.5522821269218706
2024-12-08,1.0,-0.6704827297317175,-0.6704827297317175
2024-12-10,1.5,-0.3987572060309202,-0.3987572060309202
2024-12-15,1.5,-0.3987572060309202,-0.3987572060309202
2024-12-16,1.0,-0.6704827297317175,-0.6704827297317175
2024-12-17,1.125,-0.6025513488065183,-0.6025513488065183
2024-12-18,2.0,-0.12703168233012282,-0.12703168233012282
2024-12-22,1.25,-0.5346199678813189,-0.5346199678813189
2024-12-23,0.75,-0.8063454915821162,-0.8063454915821162
2024-12-25,2.0,-0.12703168233012282,-0.12703168233012282
2024-12-26,1.125,-0.6025513488065183,-0.6025513488065183
2024-12-29,0.875,-0.7384141106569169,-0.7384141106569169
2024-12-30,1.25,-0.5346199678813189,-0.5346199678813189
2025-01-01,2.0,-0.12703168233012282,-0.12703168233012282
2025-01-02,1.125,-0.6025513488065183,-0.6025513488065183
2025-01-05,1.875,-0.19496306325532217,-0.19496306325532217
2025-01-06,1.5,-0.3987572060309202,-0.3987572060309202
2025-01-07,1.25,-0.5346199678813189,-0.5346199678813189
2025-01-08,1.75,-0.26289444418052155,-0.26289444418052155
2025-01-09,1.375,-0.46668858695611953,-0.46668858695611953
2025-01-12,2.625,0.21262522229587388,0.21262522229587388
2025-01-16,0.875,-0.7384141106569169,-0.7384141106569169
2025-01-19,1.25,-0.5346199678813189,-0.5346199678813189
2025-01-20,3.5,0.6881448887722693,0.6881448887722693
2025-01-21,1.5,-0.3987572060309202,-0.3987572060309202
2025-01-22,0.875,-0.7384141106569169,-0.7384141106569169
2025-01-23,2.25,0.008831079520275847,0.008831079520275847
2025-01-26,2.125,-0.0591003014049235,-0.0591003014049235
2025-01-27,1.875,-0.19496306325532217,-0.19496306325532217
2025-01-28,1.5,-0.3987572060309202,-0.3987572060309202
2025-01-29,1.125,-0.6025513488065183,-0.6025513488065183
2025-02-02,5.5,1.7750469835754588,1.7750469835754588
2025-02-03,1.125,-0.6025513488065183,-0.6025513488065183
2025-02-04,1.25,-0.5346199678813189,-0.5346199678813189
2025-02-05,1.125,-0.6025513488065183,-0.6025513488065183
2025-02-06,1.125,-0.6025513488065183,-0.6025513488065183
2025-02-09,1.625,-0.33082582510572084,-0.33082582510572084
2025-02-11,1.875,-0.19496306325532217,-0.19496306325532217
2025-02-16,1.5,-0.3987572060309202,-0.3987572060309202
2025-02-17,1.75,-0.26289444418052155,-0.26289444418052155
2025-02-18,1.0,-0.6704827297317175,-0.6704827297317175
2025-02-19,1.5,-0.3987572060309202,-0.3987572060309202
2025-02-20,1.75,-0.26289444418052155,-0.26289444418052155
2025-02-23,0.875,-0.7384141106569169,-0.7384141106569169
2025-02-24,2.375,0.07676246044547519,0.07676246044547519
2025-02-25,3.25,0.5522821269218706,0.5522821269218706
2025-02-26,4.25,1.0957331743234653,1.0957331743234653
2025-03-02,4.75,1.3674586980242627,1.3674586980242627
2025-03-03,7.5,2.861949078378648,2.861949078378648
2025-03-04,6.0,2.046772507276256,2.046772507276256
2025-03-05,6.0,2.046772507276256,2.046772507276256
2025-03-06,4.125,1.027801793398266,1.027801793398266
2025-03-09,5.25,1.63918422172506,1.63918422172506
2025-03-11,1.75,-0.26289444418052155,-0.26289444418052155
2025-03-16,4.25,1.0957331743234653,1.0957331743234653
2025-03-17,1.75,-0.26289444418052155,-0.26289444418052155
2025-03-18,1.125,-0.6025513488065183,-0.6025513488065183
