Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)"
count,100.0
mean,6.34
std,5.39354271609144
min,1.5
10%,3.0
25%,4.0
50%,5.0
75%,7.125
95%,12.5
99%,19.31000000000016
max,50.0
skewness,5.744391713910822
kurtosis,43.73345382350808
