Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1h, Symbol:ZN)"
count,364.0
mean,5.491758241758242
std,2.768613577676356
min,1.0
10%,2.75
25%,3.5
50%,4.875
75%,6.75
95%,10.712499999999991
99%,14.147500000000008
max,19.75
skewness,1.566880626821155
kurtosis,3.701309803200719
