Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.25,-0.5444069069397697,-0.5444069069397697
2024-10-16,0.4374992000000475,-0.3627092813508406,-0.3627092813508406
2024-10-17,0.4375007999999525,-0.36270773085791214,-0.36270773085791214
2024-10-18,0.4374992000000475,-0.3627092813508406,-0.3627092813508406
2024-10-21,0.375,-0.42327463971617413,-0.42327463971617413
2024-10-22,0.375,-0.42327463971617413,-0.42327463971617413
2024-10-23,0.4374992000000475,-0.3627092813508406,-0.3627092813508406
2024-10-24,0.5625007999999525,-0.24157546363431656,-0.24157546363431656
2024-10-28,0.5,-0.3021423724925786,-0.3021423724925786
2024-10-29,0.9374992000000475,0.12181978754354177,0.12181978754354177
2024-11-04,0.5625007999999525,-0.24157546363431656,-0.24157546363431656
2024-11-05,0.8124992000000475,0.0006875203199461862,0.0006875203199461862
2024-11-06,0.625,-0.18101010526898298,-0.18101010526898298
2024-11-07,0.9374992000000475,0.12181978754354177,0.12181978754354177
2024-11-11,0.5625007999999525,-0.24157546363431656,-0.24157546363431656
2024-11-15,0.4374992000000475,-0.3627092813508406,-0.3627092813508406
2024-11-18,0.375,-0.42327463971617413,-0.42327463971617413
2024-11-19,0.5,-0.3021423724925786,-0.3021423724925786
2024-11-20,0.5,-0.3021423724925786,-0.3021423724925786
2024-11-21,0.4374992000000475,-0.3627092813508406,-0.3627092813508406
2024-11-25,0.4374992000000475,-0.3627092813508406,-0.3627092813508406
2024-11-26,0.5,-0.3021423724925786,-0.3021423724925786
2024-12-02,3.5625,2.665598174485513,2.665598174485513
2024-12-03,0.5,-0.3021423724925786,-0.3021423724925786
2024-12-04,0.375,-0.42327463971617413,-0.42327463971617413
2024-12-05,2.5625,1.6965400366967485,1.6965400366967485
2024-12-10,1.1875,0.3640850972371971,0.3640850972371971
2024-12-13,0.375,-0.42327463971617413,-0.42327463971617413
2024-12-16,0.5,-0.3021423724925786,-0.3021423724925786
2024-12-17,0.375,-0.42327463971617413,-0.42327463971617413
2024-12-18,1.0,0.18238669640180377,0.18238669640180377
2024-12-23,0.375,-0.42327463971617413,-0.42327463971617413
2024-12-26,0.25,-0.5444069069397697,-0.5444069069397697
2024-12-27,0.375,-0.42327463971617413,-0.42327463971617413
2024-12-30,0.5,-0.3021423724925786,-0.3021423724925786
2024-12-31,0.25,-0.5444069069397697,-0.5444069069397697
2025-01-02,0.3125,-0.48384077332797193,-0.48384077332797193
2025-01-03,0.25,-0.5444069069397697,-0.5444069069397697
2025-01-06,0.5625,-0.24157623888078078,-0.24157623888078078
2025-01-07,0.375,-0.42327463971617413,-0.42327463971617413
2025-01-08,0.625,-0.18101010526898298,-0.18101010526898298
2025-01-16,0.3125,-0.48384077332797193,-0.48384077332797193
2025-01-17,0.625,-0.18101010526898298,-0.18101010526898298
2025-01-21,0.5625,-0.24157623888078078,-0.24157623888078078
2025-01-22,0.4375,-0.3627085061043763,-0.3627085061043763
2025-01-23,0.3125,-0.48384077332797193,-0.48384077332797193
2025-01-27,0.4375,-0.3627085061043763,-0.3627085061043763
2025-01-28,0.5,-0.3021423724925786,-0.3021423724925786
2025-01-29,0.6875,-0.12044397165718519,-0.12044397165718519
2025-02-03,0.5625,-0.24157623888078078,-0.24157623888078078
2025-02-04,0.375,-0.42327463971617413,-0.42327463971617413
2025-02-05,0.375,-0.42327463971617413,-0.42327463971617413
2025-02-06,0.25,-0.5444069069397697,-0.5444069069397697
2025-02-11,0.1875,-0.6049730405515675,-0.6049730405515675
2025-02-14,0.25,-0.5444069069397697,-0.5444069069397697
2025-02-18,0.4375,-0.3627085061043763,-0.3627085061043763
2025-02-19,0.3125,-0.48384077332797193,-0.48384077332797193
2025-02-20,0.3125,-0.48384077332797193,-0.48384077332797193
2025-02-24,0.375,-0.42327463971617413,-0.42327463971617413
2025-02-25,0.3125,-0.48384077332797193,-0.48384077332797193
2025-02-26,4.4375,3.513524045050682,3.513524045050682
2025-03-03,5.25,4.300883782004053,4.300883782004053
2025-03-04,6.0,5.027677385345627,5.027677385345627
2025-03-05,0.9375,0.12182056279000597,0.12182056279000597
2025-03-06,0.375,-0.42327463971617413,-0.42327463971617413
2025-03-11,0.75,-0.0598778380453874,-0.0598778380453874
2025-03-17,0.5,-0.3021423724925786,-0.3021423724925786
2025-03-18,0.3125,-0.48384077332797193,-0.48384077332797193
2025-03-19,0.6875,-0.12044397165718519,-0.12044397165718519
2025-03-20,0.4375,-0.3627085061043763,-0.3627085061043763
2025-03-21,0.4375,-0.3627085061043763,-0.3627085061043763
2025-03-24,0.3125,-0.48384077332797193,-0.48384077332797193
2025-03-25,0.625,-0.18101010526898298,-0.18101010526898298
2025-03-26,0.5,-0.3021423724925786,-0.3021423724925786
2025-03-31,0.875,0.06125442917820818,0.06125442917820818
2025-04-01,0.75,-0.0598778380453874,-0.0598778380453874
2025-04-02,0.6875,-0.12044397165718519,-0.12044397165718519
2025-04-03,1.375,0.5457834980725905,0.5457834980725905
2025-04-07,2.6875,1.817672303920344,1.817672303920344
2025-04-08,2.6875,1.817672303920344,1.817672303920344
