Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,3.25,-0.5425160849926894,-0.5425160849926894
2024-10-01,1.75,-1.1637845049036728,-1.1637845049036728
2024-10-02,6.25,0.7000207548292772,0.7000207548292772
2024-10-03,3.25,-0.5425160849926894,-0.5425160849926894
2024-10-07,4.0,-0.23188187503719782,-0.23188187503719782
2024-10-08,3.75,-0.3354266116890284,-0.3354266116890284
2024-10-09,4.0,-0.23188187503719782,-0.23188187503719782
2024-10-14,3.25,-0.5425160849926894,-0.5425160849926894
2024-10-16,3.25,-0.5425160849926894,-0.5425160849926894
2024-10-17,6.75,0.9071102281329382,0.9071102281329382
2024-10-18,4.25,-0.12833713838536728,-0.12833713838536728
2024-10-21,2.5,-0.8531502949481811,-0.8531502949481811
2024-10-22,4.5,-0.02479240173353672,-0.02479240173353672
2024-10-23,4.5,-0.02479240173353672,-0.02479240173353672
2024-10-24,3.75,-0.3354266116890284,-0.3354266116890284
2024-10-28,3.5,-0.43897134834085894,-0.43897134834085894
2024-10-29,4.75,0.07875233491829382,0.07875233491829382
2024-11-04,3.0,-0.6460608216445201,-0.6460608216445201
2024-11-05,3.5,-0.43897134834085894,-0.43897134834085894
2024-11-06,6.25,0.7000207548292772,0.7000207548292772
2024-11-07,10.0,2.253191804606735,2.253191804606735
2024-11-11,3.25,-0.5425160849926894,-0.5425160849926894
2024-11-15,10.25,2.356736541258566,2.356736541258566
2024-11-18,5.25,0.28584180822195493,0.28584180822195493
2024-11-19,5.0,0.18229707157012437,0.18229707157012437
2024-11-20,3.25,-0.5425160849926894,-0.5425160849926894
2024-11-21,4.5,-0.02479240173353672,-0.02479240173353672
2024-11-25,9.5,2.046102331303074,2.046102331303074
2024-11-26,3.25,-0.5425160849926894,-0.5425160849926894
2024-11-28,4.75,0.07875233491829382,0.07875233491829382
2024-11-29,3.25,-0.5425160849926894,-0.5425160849926894
2024-12-02,8.25,1.5283786480439214,1.5283786480439214
2024-12-03,7.75,1.3212891747402604,1.3212891747402604
2024-12-04,1.5,-1.2673292415555033,-1.2673292415555033
2024-12-05,5.75,0.49293128152561605,0.49293128152561605
2024-12-10,3.75,-0.3354266116890284,-0.3354266116890284
2024-12-13,3.0,-0.6460608216445201,-0.6460608216445201
2024-12-16,1.75,-1.1637845049036728,-1.1637845049036728
2024-12-17,5.75,0.49293128152561605,0.49293128152561605
2024-12-18,5.5,0.3893865448737855,0.3893865448737855
2024-12-23,2.5,-0.8531502949481811,-0.8531502949481811
2024-12-24,0.75,-1.577963451510995,-1.577963451510995
2024-12-26,2.0,-1.0602397682518423,-1.0602397682518423
2024-12-27,2.75,-0.7496055582963506,-0.7496055582963506
2024-12-30,4.5,-0.02479240173353672,-0.02479240173353672
2024-12-31,3.0,-0.6460608216445201,-0.6460608216445201
2025-01-02,4.25,-0.12833713838536728,-0.12833713838536728
2025-01-03,3.0,-0.6460608216445201,-0.6460608216445201
2025-01-06,6.0,0.5964760181774466,0.5964760181774466
2025-01-07,2.25,-0.9566950316000117,-0.9566950316000117
2025-01-08,5.5,0.3893865448737855,0.3893865448737855
2025-01-09,2.75,-0.7496055582963506,-0.7496055582963506
2025-01-10,12.5,3.2886391711250407,3.2886391711250407
2025-01-13,4.0,-0.23188187503719782,-0.23188187503719782
2025-01-14,5.25,0.28584180822195493,0.28584180822195493
2025-01-15,13.5,3.7028181177323636,3.7028181177323636
2025-01-16,5.0,0.18229707157012437,0.18229707157012437
2025-01-17,5.25,0.28584180822195493,0.28584180822195493
2025-01-20,8.0,1.424833911392091,1.424833911392091
2025-01-21,3.5,-0.43897134834085894,-0.43897134834085894
2025-01-22,3.0,-0.6460608216445201,-0.6460608216445201
2025-01-23,4.75,0.07875233491829382,0.07875233491829382
2025-01-24,3.5,-0.43897134834085894,-0.43897134834085894
2025-01-27,6.0,0.5964760181774466,0.5964760181774466
2025-01-28,3.25,-0.5425160849926894,-0.5425160849926894
2025-01-29,2.75,-0.7496055582963506,-0.7496055582963506
2025-01-30,4.25,-0.12833713838536728,-0.12833713838536728
2025-01-31,4.75,0.07875233491829382,0.07875233491829382
2025-02-03,5.0,0.18229707157012437,0.18229707157012437
2025-02-04,4.5,-0.02479240173353672,-0.02479240173353672
2025-02-05,0.5,-1.6815081881628255,-1.6815081881628255
