Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:15m, Symbol:ZN)"
count,95.0
mean,2.2184416118421053
std,2.068699177334714
min,0.5
10%,0.75
25%,1.0
50%,1.5
75%,2.5
95%,5.424999999999994
99%,11.530000000000001
max,12.0
skewness,3.062501910668163
kurtosis,10.597421139212024
