Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-08,4.375,0.8825748423972198,0.8825748423972198
2025-04-09,8.0,3.0101231957525245,3.0101231957525245
2025-04-15,3.375,0.295664951816446,0.295664951816446
2025-04-16,3.25,0.22230121549384926,0.22230121549384926
2025-04-17,2.125,-0.4379724114095213,-0.4379724114095213
2025-04-21,2.75,-0.07115372979653765,-0.07115372979653765
2025-04-22,2.875,0.002210006526059074,0.002210006526059074
2025-04-23,2.875,0.002210006526059074,0.002210006526059074
2025-04-24,1.875,-0.5846998840547147,-0.5846998840547147
2025-04-28,2.875,0.002210006526059074,0.002210006526059074
2025-04-29,2.0,-0.511336147732118,-0.511336147732118
2025-05-01,3.0,0.0755737428486558,0.0755737428486558
2025-05-05,1.375,-0.8781548293451017,-0.8781548293451017
2025-05-06,1.25,-0.9515185656676984,-0.9515185656676984
