Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,4.25,0.08558555382977714,0.08558555382977714
2024-10-01,5.75,0.9215374749578336,0.9215374749578336
2024-10-02,4.25,0.08558555382977714,0.08558555382977714
2024-10-03,2.75,-0.7503663672982792,-0.7503663672982792
2024-10-07,6.0,1.060862795145843,1.060862795145843
2024-10-08,3.75,-0.19306508654624166,-0.19306508654624166
2024-10-09,2.0,-1.1683423278623075,-1.1683423278623075
2024-10-14,3.5,-0.3323904067342511,-0.3323904067342511
2024-10-16,3.5,-0.3323904067342511,-0.3323904067342511
2024-10-17,1.75,-1.3076676480503169,-1.3076676480503169
2024-10-18,2.75,-0.7503663672982792,-0.7503663672982792
2024-10-21,6.5,1.3395134355218619,1.3395134355218619
2024-10-22,2.0,-1.1683423278623075,-1.1683423278623075
2024-10-23,2.0,-1.1683423278623075,-1.1683423278623075
2024-10-24,4.25,0.08558555382977714,0.08558555382977714
2024-10-28,4.25,0.08558555382977714,0.08558555382977714
2024-10-29,5.25,0.6428868345818147,0.6428868345818147
2024-11-04,4.25,0.08558555382977714,0.08558555382977714
2024-11-05,3.5,-0.3323904067342511,-0.3323904067342511
2024-11-06,10.25,3.4293932383420027,3.4293932383420027
2024-11-07,5.25,0.6428868345818147,0.6428868345818147
2024-11-11,3.5,-0.3323904067342511,-0.3323904067342511
2024-11-15,5.25,0.6428868345818147,0.6428868345818147
2024-11-18,4.75,0.36423619420579595,0.36423619420579595
2024-11-19,7.75,2.0361400364619087,2.0361400364619087
2024-11-20,3.5,-0.3323904067342511,-0.3323904067342511
2024-11-21,4.0,-0.05373976635823226,-0.05373976635823226
2024-11-25,4.25,0.08558555382977714,0.08558555382977714
2024-11-26,2.5,-0.8896916874862887,-0.8896916874862887
2024-11-28,4.75,0.36423619420579595,0.36423619420579595
2024-12-02,5.5,0.7822121547698242,0.7822121547698242
2024-12-03,4.75,0.36423619420579595,0.36423619420579595
2024-12-04,3.5,-0.3323904067342511,-0.3323904067342511
2024-12-05,5.25,0.6428868345818147,0.6428868345818147
2024-12-10,6.75,1.4788387557098712,1.4788387557098712
2024-12-13,3.75,-0.19306508654624166,-0.19306508654624166
2024-12-16,2.25,-1.0290170076742982,-1.0290170076742982
2024-12-17,4.75,0.36423619420579595,0.36423619420579595
2024-12-18,3.25,-0.47171572692226044,-0.47171572692226044
2024-12-23,3.0,-0.6110410471102699,-0.6110410471102699
2024-12-26,1.75,-1.3076676480503169,-1.3076676480503169
2024-12-27,4.5,0.22491087401778656,0.22491087401778656
2024-12-30,3.5,-0.3323904067342511,-0.3323904067342511
2024-12-31,2.5,-0.8896916874862887,-0.8896916874862887
2025-01-02,6.5,1.3395134355218619,1.3395134355218619
2025-01-03,2.75,-0.7503663672982792,-0.7503663672982792
2025-01-06,5.75,0.9215374749578336,0.9215374749578336
2025-01-07,3.75,-0.19306508654624166,-0.19306508654624166
2025-01-08,4.0,-0.05373976635823226,-0.05373976635823226
2025-01-09,2.75,-0.7503663672982792,-0.7503663672982792
2025-01-10,2.5,-0.8896916874862887,-0.8896916874862887
2025-01-13,2.25,-1.0290170076742982,-1.0290170076742982
2025-01-14,4.5,0.22491087401778656,0.22491087401778656
2025-01-15,2.25,-1.0290170076742982,-1.0290170076742982
2025-01-16,2.75,-0.7503663672982792,-0.7503663672982792
2025-01-17,3.0,-0.6110410471102699,-0.6110410471102699
2025-01-20,3.0,-0.6110410471102699,-0.6110410471102699
2025-01-21,6.75,1.4788387557098712,1.4788387557098712
2025-01-22,3.75,-0.19306508654624166,-0.19306508654624166
2025-01-23,4.5,0.22491087401778656,0.22491087401778656
2025-01-24,4.0,-0.05373976635823226,-0.05373976635823226
2025-01-27,11.25,3.9866945190940406,3.9866945190940406
2025-01-28,3.75,-0.19306508654624166,-0.19306508654624166
2025-01-29,2.75,-0.7503663672982792,-0.7503663672982792
2025-01-30,2.75,-0.7503663672982792,-0.7503663672982792
2025-01-31,3.5,-0.3323904067342511,-0.3323904067342511
2025-02-03,5.25,0.6428868345818147,0.6428868345818147
2025-02-04,4.5,0.22491087401778656,0.22491087401778656
2025-02-05,4.5,0.22491087401778656,0.22491087401778656
2025-02-06,0.75,-1.8649689288023545,-1.8649689288023545
