Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)"
count,62.0
mean,3.338709677419355
std,1.7391919019211455
min,0.625
10%,1.75
25%,2.03125
50%,3.0
75%,4.3125
95%,6.218749999999997
99%,8.337500000000002
max,10.625
skewness,1.4233214169883346
kurtosis,3.7891676847202347
