Volatility of Returns Statistic,"(Session:All day, Interval:1d, Symbol:ZN)"
count,5351.0
mean,10.264835227206364
std,5.771945285852907
min,0.0
10%,4.75
25%,6.5
50%,9.0
75%,12.748779296875
95%,20.875244140625
99%,29.5
max,74.5
skewness,2.3557687993310417
kurtosis,12.171536873864135
