Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,6.75,0.4348302435516567,0.4348302435516567
2022-12-21,7.75,0.7899495643007595,0.7899495643007595
2022-12-27,7.0,0.5236100737389324,0.5236100737389324
2022-12-28,4.5,-0.3641882281338244,-0.3641882281338244
2022-12-29,4.5,-0.3641882281338244,-0.3641882281338244
2022-12-30,6.0,0.1684907529898297,0.1684907529898297
2023-01-03,5.5,-0.009068907384721662,-0.009068907384721662
2023-01-04,3.0,-0.8968672092574785,-0.8968672092574785
2023-01-05,2.0,-1.251986530006581,-1.251986530006581
2023-01-10,4.25,-0.4529680583211001,-0.4529680583211001
2023-01-11,3.5,-0.7193075488829271,-0.7193075488829271
2023-01-17,7.0,0.5236100737389324,0.5236100737389324
2023-01-19,6.5,0.3460504133643811,0.3460504133643811
2023-01-20,3.75,-0.6305277186956515,-0.6305277186956515
2023-01-23,6.25,0.2572705831771054,0.2572705831771054
2023-01-24,8.5,1.0562890548625865,1.0562890548625865
2023-01-25,4.25,-0.4529680583211001,-0.4529680583211001
2023-01-30,3.75,-0.6305277186956515,-0.6305277186956515
2023-01-31,6.75,0.4348302435516567,0.4348302435516567
2023-02-01,3.75,-0.6305277186956515,-0.6305277186956515
2023-02-02,10.5,1.766527696360792,1.766527696360792
2023-02-06,5.25,-0.09784873757199734,-0.09784873757199734
2023-02-07,4.5,-0.3641882281338244,-0.3641882281338244
2023-02-08,4.0,-0.5417478885083757,-0.5417478885083757
2023-02-09,3.5,-0.7193075488829271,-0.7193075488829271
2023-02-15,6.25,0.2572705831771054,0.2572705831771054
2023-02-17,2.75,-0.9856470394447542,-0.9856470394447542
2023-02-21,8.5,1.0562890548625865,1.0562890548625865
2023-02-22,5.5,-0.009068907384721662,-0.009068907384721662
2023-02-27,17.25,4.1635831114172355,4.1635831114172355
2023-02-28,13.5,2.8318856586081003,2.8318856586081003
2023-03-01,11.75,2.21042684729717,2.21042684729717
2023-03-02,15.25,3.45334446991903,3.45334446991903
2023-03-03,12.25,2.3879865076717217,2.3879865076717217
2023-03-06,12.0,2.299206677484446,2.299206677484446
2023-03-07,4.25,-0.4529680583211001,-0.4529680583211001
2023-03-08,9.25,1.3226285454244135,1.3226285454244135
2023-03-09,8.75,1.1450688850498623,1.1450688850498623
2023-03-16,12.5,2.4767663378589972,2.4767663378589972
2023-03-20,17.5,4.2523629416045114,4.2523629416045114
2023-03-21,7.75,0.7899495643007595,0.7899495643007595
2023-03-22,6.25,0.2572705831771054,0.2572705831771054
2023-03-23,7.25,0.6123899039262081,0.6123899039262081
2023-03-24,5.25,-0.09784873757199734,-0.09784873757199734
2023-03-27,6.75,0.4348302435516567,0.4348302435516567
2023-03-28,7.25,0.6123899039262081,0.6123899039262081
2023-03-29,9.0,1.2338487152371378,1.2338487152371378
2023-04-03,7.0,0.5236100737389324,0.5236100737389324
2023-04-04,4.5,-0.3641882281338244,-0.3641882281338244
2023-04-05,11.0,1.9440873567353434,1.9440873567353434
2023-04-06,8.5,1.0562890548625865,1.0562890548625865
2023-04-11,5.5,-0.009068907384721662,-0.009068907384721662
2023-04-17,4.25,-0.4529680583211001,-0.4529680583211001
2023-04-18,4.75,-0.2754083979465487,-0.2754083979465487
2023-04-19,3.5,-0.7193075488829271,-0.7193075488829271
2023-04-20,6.0,0.1684907529898297,0.1684907529898297
2023-04-21,8.25,0.9675092246753109,0.9675092246753109
2023-04-24,3.0,-0.8968672092574785,-0.8968672092574785
2023-04-25,5.0,-0.18662856775927303,-0.18662856775927303
2023-04-26,8.5,1.0562890548625865,1.0562890548625865
2023-05-01,5.75,0.07971092280255403,0.07971092280255403
2023-05-02,5.0,-0.18662856775927303,-0.18662856775927303
2023-05-03,4.0,-0.5417478885083757,-0.5417478885083757
2023-05-04,8.75,1.1450688850498623,1.1450688850498623
2023-05-09,4.75,-0.2754083979465487,-0.2754083979465487
2023-05-15,5.25,-0.09784873757199734,-0.09784873757199734
2023-05-16,2.25,-1.1632066998193056,-1.1632066998193056
2023-05-17,5.0,-0.18662856775927303,-0.18662856775927303
2023-05-18,6.25,0.2572705831771054,0.2572705831771054
2023-05-19,6.0,0.1684907529898297,0.1684907529898297
2023-05-22,6.0,0.1684907529898297,0.1684907529898297
2023-05-23,2.25,-1.1632066998193056,-1.1632066998193056
2023-05-24,3.75,-0.6305277186956515,-0.6305277186956515
2023-05-30,19.75,5.051381413289993,5.051381413289993
2023-05-31,4.25,-0.4529680583211001,-0.4529680583211001
2023-06-01,10.0,1.5889680359862406,1.5889680359862406
2023-06-05,3.0,-0.8968672092574785,-0.8968672092574785
2023-06-06,8.5,1.0562890548625865,1.0562890548625865
2023-06-07,4.5,-0.3641882281338244,-0.3641882281338244
2023-06-08,10.75,1.8553075265480676,1.8553075265480676
2023-06-09,8.25,0.9675092246753109,0.9675092246753109
2023-06-15,10.25,1.6777478661735163,1.6777478661735163
2023-06-20,6.5,0.3460504133643811,0.3460504133643811
2023-06-21,5.5,-0.009068907384721662,-0.009068907384721662
2023-06-22,9.75,1.5001882057989648,1.5001882057989648
2023-06-23,6.5,0.3460504133643811,0.3460504133643811
2023-06-26,6.75,0.4348302435516567,0.4348302435516567
2023-06-27,5.5,-0.009068907384721662,-0.009068907384721662
2023-06-28,2.75,-0.9856470394447542,-0.9856470394447542
2023-07-05,4.5,-0.3641882281338244,-0.3641882281338244
2023-07-06,2.0,-1.251986530006581,-1.251986530006581
2023-07-11,3.5,-0.7193075488829271,-0.7193075488829271
2023-07-17,8.0,0.8787293944880352,0.8787293944880352
2023-07-18,7.25,0.6123899039262081,0.6123899039262081
2023-07-19,5.5,-0.009068907384721662,-0.009068907384721662
2023-07-20,5.5,-0.009068907384721662,-0.009068907384721662
2023-07-21,5.0,-0.18662856775927303,-0.18662856775927303
2023-07-24,5.5,-0.009068907384721662,-0.009068907384721662
2023-07-25,4.75,-0.2754083979465487,-0.2754083979465487
2023-07-26,4.5,-0.3641882281338244,-0.3641882281338244
2023-07-31,4.75,-0.2754083979465487,-0.2754083979465487
2023-08-01,7.5,0.7011697341134838,0.7011697341134838
2023-08-02,8.5,1.0562890548625865,1.0562890548625865
2023-08-03,7.75,0.7899495643007595,0.7899495643007595
2023-08-07,6.25,0.2572705831771054,0.2572705831771054
2023-08-08,4.25,-0.4529680583211001,-0.4529680583211001
2023-08-09,4.75,-0.2754083979465487,-0.2754083979465487
2023-08-15,12.25,2.3879865076717217,2.3879865076717217
2023-08-16,5.25,-0.09784873757199734,-0.09784873757199734
2023-08-17,4.5,-0.3641882281338244,-0.3641882281338244
2023-08-18,6.5,0.3460504133643811,0.3460504133643811
2023-08-21,5.0,-0.18662856775927303,-0.18662856775927303
2023-08-22,6.25,0.2572705831771054,0.2572705831771054
2023-08-23,10.0,1.5889680359862406,1.5889680359862406
2023-08-24,4.5,-0.3641882281338244,-0.3641882281338244
2023-08-28,6.0,0.1684907529898297,0.1684907529898297
2023-08-29,4.25,-0.4529680583211001,-0.4529680583211001
2023-09-05,10.0,1.5889680359862406,1.5889680359862406
2023-09-06,8.75,1.1450688850498623,1.1450688850498623
