Volatility of Returns Statistic,"(Session:All day, Interval:1d, Symbol:FGBL)"
count,3322.0
mean,79.03401565322095
std,43.52065396981771
min,16.99999999999875
10%,39.100000000001124
25%,50.99999999999909
50%,68.00000000000068
75%,94.99999999999886
95%,161.00000000000136
99%,235.99999999999963
max,469.0000000000026
skewness,2.2895934200733303
kurtosis,8.82394058188034
