Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.125,-1.0392967855369037,-1.0392967855369037
2024-10-16,1.75,-0.8002853800775124,-0.8002853800775124
2024-10-17,1.125,-1.0392967855369037,-1.0392967855369037
2024-10-18,1.125,-1.0392967855369037,-1.0392967855369037
2024-10-21,2.875,-0.3700648502506081,-0.3700648502506081
2024-10-22,2.25,-0.6090762557099993,-0.6090762557099993
2024-10-23,1.75,-0.8002853800775124,-0.8002853800775124
2024-10-24,3.0,-0.3222625691587298,-0.3222625691587298
2024-10-28,3.75,-0.0354488826074603,-0.0354488826074603
2024-10-29,3.75,-0.0354488826074603,-0.0354488826074603
2024-11-04,4.75,0.34696936612756574,0.34696936612756574
2024-11-05,4.375,0.20356252285193097,0.20356252285193097
2024-11-06,4.125,0.10795796066817447,0.10795796066817447
2024-11-07,4.5,0.2513648039438092,0.2513648039438092
2024-11-11,1.25,-0.9914945044450254,-0.9914945044450254
2024-11-15,6.875,1.1596081446894961,1.1596081446894961
2024-11-18,3.25,-0.22665800697497332,-0.22665800697497332
2024-11-19,2.0,-0.7046808178937558,-0.7046808178937558
2024-11-20,1.75,-0.8002853800775124,-0.8002853800775124
2024-11-21,4.625,0.29916708503568745,0.29916708503568745
2024-11-25,3.375,-0.17885572588309506,-0.17885572588309506
2024-11-26,2.125,-0.6568785368018776,-0.6568785368018776
2024-11-28,0.625,-1.2305059099044167,-1.2305059099044167
2024-11-29,5.375,0.585980771586957,0.585980771586957
2024-12-02,6.875,1.1596081446894961,1.1596081446894961
2024-12-03,5.625,0.6815853337707135,0.6815853337707135
2024-12-04,4.0,0.06015567957629621,0.06015567957629621
2024-12-05,5.25,0.5381784904950787,0.5381784904950787
2024-12-10,4.625,0.29916708503568745,0.29916708503568745
2024-12-13,3.25,-0.22665800697497332,-0.22665800697497332
2024-12-16,2.0,-0.7046808178937558,-0.7046808178937558
2024-12-17,1.375,-0.9436922233531472,-0.9436922233531472
2024-12-18,10.625,2.593676577445844,2.593676577445844
2024-12-23,2.375,-0.5612739746181211,-0.5612739746181211
2024-12-24,2.75,-0.4178671313424863,-0.4178671313424863
2024-12-26,4.0,0.06015567957629621,0.06015567957629621
2024-12-27,2.875,-0.3700648502506081,-0.3700648502506081
2024-12-30,1.75,-0.8002853800775124,-0.8002853800775124
2024-12-31,3.875,0.012353398484417953,0.012353398484417953
2025-01-02,4.625,0.29916708503568745,0.29916708503568745
2025-01-03,2.625,-0.4656694124343646,-0.4656694124343646
2025-01-06,2.5,-0.5134716935262429,-0.5134716935262429
2025-01-07,2.5,-0.5134716935262429,-0.5134716935262429
2025-01-08,2.0,-0.7046808178937558,-0.7046808178937558
2025-01-09,1.5,-0.8958899422612688,-0.8958899422612688
2025-01-16,6.25,0.9205967392301048,0.9205967392301048
2025-01-17,2.5,-0.5134716935262429,-0.5134716935262429
2025-01-20,1.875,-0.7524830989856341,-0.7524830989856341
2025-01-21,1.875,-0.7524830989856341,-0.7524830989856341
2025-01-22,3.0,-0.3222625691587298,-0.3222625691587298
2025-01-23,2.125,-0.6568785368018776,-0.6568785368018776
2025-01-27,3.25,-0.22665800697497332,-0.22665800697497332
2025-01-28,2.375,-0.5612739746181211,-0.5612739746181211
2025-01-29,5.375,0.585980771586957,0.585980771586957
2025-02-03,4.125,0.10795796066817447,0.10795796066817447
2025-02-04,1.75,-0.8002853800775124,-0.8002853800775124
2025-02-05,1.75,-0.8002853800775124,-0.8002853800775124
2025-02-06,2.25,-0.6090762557099993,-0.6090762557099993
2025-02-11,1.5,-0.8958899422612688,-0.8958899422612688
2025-02-14,1.875,-0.7524830989856341,-0.7524830989856341
2025-02-17,0.5,-1.278308190996295,-1.278308190996295
2025-02-18,2.5,-0.5134716935262429,-0.5134716935262429
2025-02-19,2.0,-0.7046808178937558,-0.7046808178937558
2025-02-20,1.125,-1.0392967855369037,-1.0392967855369037
2025-02-24,2.375,-0.5612739746181211,-0.5612739746181211
2025-02-25,2.75,-0.4178671313424863,-0.4178671313424863
2025-02-26,7.875,1.5420263934245222,1.5420263934245222
2025-03-03,6.125,0.8727944581382265,0.8727944581382265
2025-03-04,12.5,3.3107107938240175,3.3107107938240175
2025-03-05,7.5,1.3986195501488874,1.3986195501488874
2025-03-06,7.0,1.2074104257813743,1.2074104257813743
2025-03-11,9.0,1.9722469232514264,1.9722469232514264
2025-03-17,5.75,0.7293876148625917,0.7293876148625917
2025-03-18,4.375,0.20356252285193097,0.20356252285193097
2025-03-19,7.375,1.350817269057009,1.350817269057009
2025-03-20,3.625,-0.08325116369933856,-0.08325116369933856
2025-03-21,3.25,-0.22665800697497332,-0.22665800697497332
2025-03-24,1.625,-0.8480876611693906,-0.8480876611693906
2025-03-25,2.25,-0.6090762557099993,-0.6090762557099993
2025-03-26,2.375,-0.5612739746181211,-0.5612739746181211
2025-03-31,4.0,0.06015567957629621,0.06015567957629621
2025-04-01,2.625,-0.4656694124343646,-0.4656694124343646
2025-04-02,6.375,0.968399020321983,0.968399020321983
2025-04-03,4.0,0.06015567957629621,0.06015567957629621
2025-04-07,10.625,2.593676577445844,2.593676577445844
2025-04-08,9.125,2.0200492043433047,2.0200492043433047
2025-04-09,14.0,3.8843381669265566,3.8843381669265566
2025-04-15,4.375,0.20356252285193097,0.20356252285193097
2025-04-16,4.625,0.29916708503568745,0.29916708503568745
